english,translate
Stealth Attack Barrier,Барьер от атаки из невидимости
Stealth Barrier,Барьер невидимости
Steam,Пар
Steam Prison,Паровая тюрьма
Steam Surge,Паровой всплеск
Steam Vent,Паровая отдушина
Steel Divide,Стальной раскол
Steel-Packed Powder,Стальной порох
Sticky Spit,Липкий плевок
Stinging Sorrow,Жгучая печаль
Stoic Demeanor,Стоическое поведение
Stoke the Flames,Раздуть пламя
Stolen Skill Uses,Использование украденных навыков
Stomp,Топот
Stomp the Growth,Растоптать ростки
Stone Claw,Каменный коготь
Stone Flesh,Каменная плоть
Stone Kick,Каменный пинок
Stone Resonance,Каменный резонанс
Stone Shards,Каменные осколки
Stone Strike,Каменный удар
Stone Summit Cannon,Пушка Каменного Саммита
Stone Sweep,Каменный взмах
Stone Tide,Каменный прилив
Stone Volley,Каменный залп
Stoneform,Каменная форма
Stonestrike,Каменный удар
Stoning,Закидывание камнями
Storm Blast,Штормовой взрыв
Storm Spirit,Дух шторма
Storm Summoning,Призыв шторма
Storm of Swords,Шторм мечей
Storm's Edge,Грань шторма
Stormfall,Штормовой обвал
Stormsoul,Душа шторма
Stow Bomb Kit,Убрать набор бомб
Stow Elixir Gun,Убрать эликсирную пушку
