source,bare_exists
%num1% of %num2% Miniatures Collected,
%num1% of %num2% Orders Found,
%num1% of %num2% Peppers Spent,
%num1% of %num2% Pieces Earned.,
%num1% of %num2% Reality Rifts Completed,
%num1% of %num2% Regions Complete,
%num1% of %num2% Reward Skins Unlocked,
%num1% of %num2% Shards of Jormag Collected,
%num1% of %num2% Types Collected,
%num1% of %num2% advanced material types collected.,
%num1% of %num2% ascended material types collected.,
%num1% of %num2% basic material types collected.,
%num1% of %num2% cooking ingredient types collected.,
%num1% of %num2% cooking material types collected.,
%num1% of %num2% decorations will not be placed because not enough copies are unlocked.,
%num1% of %num2% festive material types collected.,
%num1% of %num2% gemstone and jewel types collected.,
%num1% of %num2% intermediate material types collected.,
%num1% of %num2% scribing material types collected.,
%num1% of %num2% skins unlocked,
%num1% of %num2% token types collected.,
%num1% of 25 Balloons Shot,
%num1% pips earned for tick,
%num1% platinum,
%num1% platinum and %num2% gold,
"%num1% platinum, %num2% gold",
%num1% point[s] scored in PvP.,
%num1% possible unknown recipes!,
%num1% resolve,
%num1% solo activities were completed for %num2% influence.,
%num1% supply,
%num1% supply among %num2% members. %num3% remote members.,
%num1% supply among %num2% players.,
%num1% team[s] have registered for %str1%.,
%num1%%%,
%num1%%% %str1% Resolve,
%num1%%% Branded Swarm Remaining,
%num1%%% Complete,
%num1%%% Map complete,
%num1%%% OFF!,
%num1%%% Participation,
%num1%-%num2%,1
%num1%-%num2% (Off Hand),
%num1%-%num2% (main hand),
%num1%-Point Reward,
%num1%-Team Quick Tournament,
%num1%-Team Quick Tournament (Free),
%num1%-Team Quick Tournament (Paid),
%num1%-Team Rated Tournament,
%num1%-Time Brawl Champion,
%num1%.%num2%,
%num1%.%num2%MB,
%num1%/%num2%,
%num1%/%num2% %str1% Defeated,
%num1%/%num2% %str1% Returned,
%num1%/%num2% Achievements Completed,
%num1%/%num2% Achievements Completed<br>for World 1,
%num1%/%num2% Achievements Completed<br>for World 2,
%num1%/%num2% Acts of Assistance,
%num1%/%num2% Adept Fractals Completed,
%num1%/%num2% Adventure Gold Awards<br>in World 1,
%num1%/%num2% Adventure Gold Awards<br>in World 2,
%num1%/%num2% Aetherblade Foreman Engaged,
%num1%/%num2% Aetherblade Officer Caught,
%num1%/%num2% Aetherblades Killed,
%num1%/%num2% Air Strikes Called Down,
%num1%/%num2% Ally Fights Completed,
%num1%/%num2% Ambushes Triggered,
%num1%/%num2% Annual Four Winds Customs Achievement[s] Completed,
%num1%/%num2% Annual Halloween Achievements Completed,
%num1%/%num2% Anomalies Dispersed,
%num1%/%num2% Antitoxin Dose[s] Injected,
%num1%/%num2% Archers or Door Breakers Killed,
%num1%/%num2% Areas,
%num1%/%num2% Areas Completed,
%num1%/%num2% Areas Explored,
%num1%/%num2% Armor Skins Unlocked,
%num1%/%num2% Artifact[s] Captured,
%num1%/%num2% Bags Opened,
%num1%/%num2% Bandit Crests Donated,
%num1%/%num2% Bandit Leaders Defeated,
%num1%/%num2% Bandits Slain,
%num1%/%num2% Battle of Champion's Dusk Achievements Completed,
%num1%/%num2% Battle of Kyhlo Achievements Completed,
%num1%/%num2% Beetle Foods Collected,
%num1%/%num2% Bell Choir Songs Completed,
%num1%/%num2% Bell[s] Captured,
%num1%/%num2% Bells Rung,
%num1%/%num2% Big Welcomes,
%num1%/%num2% Birds Scared,
%num1%/%num2% Blessings of Arborstone Returned,
%num1%/%num2% Bloodlust Masticus Kills,
%num1%/%num2% Bloodstone Slivers Collected,
%num1%/%num2% Bonus Experience,
%num1%/%num2% Books Read,
%num1%/%num2% Boom-Boom Baines Defeated,
%num1%/%num2% Boss Blitz Meta-Events Completed,
%num1%/%num2% Bottles of Rum Stolen,
%num1%/%num2% Bounties Completed,
%num1%/%num2% Brand Stompers Repaired,
%num1%/%num2% Bridges Destroyed,
%num1%/%num2% Brotherhood Event[s] Succeeded,
%num1%/%num2% Buried Locked Chests Opened,
%num1%/%num2% Busts Discovered,
%num1%/%num2% Candy Canes Eaten,
%num1%/%num2% Captains Defeated,
%num1%/%num2% Centaurs Slain,
%num1%/%num2% Chairs Cherished,
%num1%/%num2% Challenges,
%num1%/%num2% Champion Chak Killed,
%num1%/%num2% Champion Mordrem Defeated,
%num1%/%num2% Champion[s] Summoned,
%num1%/%num2% Chest[s] Opened,
%num1%/%num2% Chests Opened,
%num1%/%num2% Chickens Recovered,
%num1%/%num2% Chromatic Creature Crushed,
%num1%/%num2% Clockheart Defeated,
%num1%/%num2% Clockwork Nightmare Defeated,
%num1%/%num2% Closing Ceremony Attended,
%num1%/%num2% Clue[s] Collected,
%num1%/%num2% Clues Found,
%num1%/%num2% Coalescence Surge Events Visited,
%num1%/%num2% Coalescence[s] Slain,
%num1%/%num2% Coalescences Captured While Supporting Magister Garen,
%num1%/%num2% Coalescences Captured While Supporting Magister Keadin,
%num1%/%num2% Coalescences Captured While Supporting Manager Flinzz,
%num1%/%num2% Coalescences Captured While Supporting Manager Loonaloo,
%num1%/%num2% Coalescences Captured While Supporting the Consortium in Snowden Drifts,
%num1%/%num2% Coalescences Captured While Supporting the Priory in Snowden Drifts,
%num1%/%num2% Coalescences Dispersed,
%num1%/%num2% Coins Found,
%num1%/%num2% Community Tiers Completed,
%num1%/%num2% Completed,
%num1%/%num2% Completed without Being Hit By Flames,
%num1%/%num2% Completions,
%num1%/%num2% Components Purchased,
%num1%/%num2% Corpses Found,
%num1%/%num2% Correct Notes Played,
%num1%/%num2% Crabs Carried,
%num1%/%num2% Crabs Grabbed,
%num1%/%num2% Creatures Sighted,
%num1%/%num2% Data Disks Found,
%num1%/%num2% Dead Drops Translated,
%num1%/%num2% Deep Drinks,
%num1%/%num2% Defeated,
%num1%/%num2% Defense Seal[s] Contributed,
%num1%/%num2% Dens Found,
%num1%/%num2% Destroyers Slain,
%num1%/%num2% Difficulty Levels Mastered,
%num1%/%num2% Digs With Shovel,
%num1%/%num2% Dives Accomplished,
%num1%/%num2% Diving Locations,
%num1%/%num2% Dolyak Escorted,
%num1%/%num2% Dolyak[s] Saved,
%num1%/%num2% Door Events Completed,
%num1%/%num2% Draconis Mons Champions Defeated,
%num1%/%num2% Draconis Mons Task Regions Completed,
%num1%/%num2% Dragon Ball Arena Games Won,
%num1%/%num2% Dragon Response Missions Completed,
%num1%/%num2% Dungeons,
%num1%/%num2% Effigies Lit,
%num1%/%num2% Ember Bay Champions Defeated,
%num1%/%num2% Ember Bay Task Regions Completed,
%num1%/%num2% Etchings Discovered,
%num1%/%num2% Eternal Coliseum Achievements Completed,
%num1%/%num2% Events Completed,
%num1%/%num2% Events Completed in Bitterfrost Frontier,
%num1%/%num2% Events Completed in Bloodstone Fen,
%num1%/%num2% Events Completed in Draconis Mons,
%num1%/%num2% Events Completed in Dragonfall,
%num1%/%num2% Events Completed in Dry Top,
%num1%/%num2% Events Completed in Ember Bay,
%num1%/%num2% Events Completed in Lake Doric,
%num1%/%num2% Events Completed in Siren's Landing,
%num1%/%num2% Events Completed in the Domain of Istan,
%num1%/%num2% Events Completed in the Plains of Ashford,
%num1%/%num2% Events Completed in the Silverwastes,
%num1%/%num2% Events Completed inside Tower,
%num1%/%num2% Events Successful,
%num1%/%num2% Events Successfully Completed,
%num1%/%num2% Exalted Support Mark[s] Contributed,
%num1%/%num2% Exp without Death or Map Travel,
%num1%/%num2% Experience,
%num1%/%num2% Expert Fractals Completed,
"%num1%/%num2% Faction Supply Box[pl:""Boxes""] Purchased",
%num1%/%num2% Feats Accomplished,
%num1%/%num2% Fireworks Launched,
%num1%/%num2% Fireworks Set Off,
"%num1%/%num2% Five Gambit, Third Tier Victories",
%num1%/%num2% Flame Legion Support Mark[s] Contributed,
%num1%/%num2% Flame Legionnaires Slain,
%num1%/%num2% Foe[s] Defeated in Battle of Kyhlo Matches,
%num1%/%num2% Foe[s] Defeated in Eternal Coliseum Matches,
%num1%/%num2% Foe[s] Defeated in Forest of Niflhel Matches,
%num1%/%num2% Foe[s] Defeated in Legacy of the Foefire Matches,
%num1%/%num2% Foe[s] Defeated in Skyhammer Matches,
%num1%/%num2% Foe[s] Defeated in Spirit Watch Matches,
%num1%/%num2% Foe[s] Defeated in Temple of the Silent Storm Matches,
%num1%/%num2% Foe[s] Defeated on Revenge of the Capricorn,
%num1%/%num2% Food Consumed,
%num1%/%num2% Foods Donated,
%num1%/%num2% Foreman Defeated,
%num1%/%num2% Forest of Niflhel Achievements Completed,
%num1%/%num2% Fractal Conquered,
%num1%/%num2% Fractal Scales Completed,
%num1%/%num2% Fractals,
%num1%/%num2% Fractals Completed,
%num1%/%num2% Frail and Squeamish Victories,
%num1%/%num2% Full-Length Fractals,
%num1%/%num2% Games Played,
%num1%/%num2% Ghostly Champions Defeated,
%num1%/%num2% Ghostly Justiciars Defeated,
%num1%/%num2% Giving Levels,
%num1%/%num2% Global Goals Completed,
%num1%/%num2% Gold Donated,
%num1%/%num2% Golden Lost Badges Found,
%num1%/%num2% Golem Parts Retrieved,
%num1%/%num2% Goods Donated,
%num1%/%num2% Great Jungle Wurm Eggs Destroyed,
%num1%/%num2% Great Jungle Wurms Decapitated,
%num1%/%num2% Great Wurm Heads Defeated,
%num1%/%num2% Hatched Chilis Acquired,
%num1%/%num2% Hatchlings Exterminated,
%num1%/%num2% Haypile High Jumps,
%num1%/%num2% Hearts Complete,
%num1%/%num2% Height Contests,
%num1%/%num2% Hidden Chest[s] Opened,
"%num1%/%num2% Hidden Rooms Found<br>in World 1, Zone 1",
"%num1%/%num2% Hidden Rooms Found<br>in World 1, Zone 2",
"%num1%/%num2% Hidden Rooms Found<br>in World 1, Zone 3",
"%num1%/%num2% Hidden Rooms Found<br>in World 2, Zone 1",
"%num1%/%num2% Hidden Rooms Found<br>in World 2, Zone 2",
"%num1%/%num2% Hidden Rooms Found<br>in World 2, Zone 3",
%num1%/%num2% High Chairs,
%num1%/%num2% Hints Completed,
%num1%/%num2% Holiday Drinks Consumed,
%num1%/%num2% Holographic Minions Killed,
%num1%/%num2% Honeycombs Destroyed in World 1 Tribulation Mode,
%num1%/%num2% Hormonally-Imbalanced Doobroosh Kills,
%num1%/%num2% In Collection,
%num1%/%num2% Initiate Fractals Completed,
%num1%/%num2% Instance Completed,
%num1%/%num2% Introductions,
%num1%/%num2% Invaders Killed,
%num1%/%num2% Invading Champion Aetherblade Captains Defeated,
%num1%/%num2% Invading Molten Alliance Champions Defeated,
%num1%/%num2% Invasions Ended,
%num1%/%num2% Investigations Concluded,
%num1%/%num2% Invitations Acquired,
%num1%/%num2% Item Upgrades Acquired,
%num1%/%num2% Items Collected,
%num1%/%num2% Items Found,
%num1%/%num2% Items Salvaged,
%num1%/%num2% Journal Page[s] Acquired,
%num1%/%num2% Journals Fully Recovered,
%num1%/%num2% Kill Combos with an Ally,
%num1%/%num2% Killed,
%num1%/%num2% Killing Blows,
%num1%/%num2% Kills,
%num1%/%num2% Kills in Unranked and Ranked Arena,
%num1%/%num2% Kingpins Taken Down in Siren's Landing,
%num1%/%num2% Krait Champions Killed,
%num1%/%num2% Krait Obelisk Shards Visited,
%num1%/%num2% Kuraii the Cruel Defeated,
%num1%/%num2% Legacy of the Foefire Achievements Completed,
%num1%/%num2% Legendary Boss Defeated,
%num1%/%num2% Legendary Mordrem Kills,
%num1%/%num2% Lessons Learned,
%num1%/%num2% Ley Energy Turned In,
%num1%/%num2% Ley-Line Anomalies Dispersed,
%num1%/%num2% Ley-Line Events Found,
%num1%/%num2% Liadri Blazing Light Kills,
%num1%/%num2% Liadri the Concealing Darkness Kills,
%num1%/%num2% Llamas Located,
%num1%/%num2% Location[s] Reached,
%num1%/%num2% Locations Found,
%num1%/%num2% Long Hauls,
%num1%/%num2% Lord Faren Saved Early,
%num1%/%num2% Lord[s] Killed,
%num1%/%num2% Lost Badges Found,
%num1%/%num2% Lost Bandit Chests Found,
%num1%/%num2% Lost Cards Found,
%num1%/%num2% Lost Coins Found,
%num1%/%num2% Lost Letters Found,
%num1%/%num2% Lost Llamas Found,
%num1%/%num2% Lost Records Found,
%num1%/%num2% Magic Nodes Collected,
%num1%/%num2% Marionette[s] Defeated,
%num1%/%num2% Marriner Plaques Read,
%num1%/%num2% Master Fractals Completed,
%num1%/%num2% Mastery Insight,
"%num1%/%num2% Match[pl:""Matches""] Won in Legacy of the Foefire",
"%num1%/%num2% Match[pl:""Matches""] Won in Skyhammer",
"%num1%/%num2% Match[pl:""Matches""] Won in Spirit Watch",
"%num1%/%num2% Match[pl:""Matches""] Won in the Battle of Champion's Dusk",
"%num1%/%num2% Match[pl:""Matches""] Won in the Battle of Kyhlo",
"%num1%/%num2% Match[pl:""Matches""] Won in the Eternal Coliseum",
"%num1%/%num2% Match[pl:""Matches""] Won in the Forest of Niflhel",
"%num1%/%num2% Match[pl:""Matches""] Won in the Temple of the Silent Storm",
"%num1%/%num2% Match[pl:""Matches""] Won on Revenge of the Capricorn",
%num1%/%num2% Materials Collected,
%num1%/%num2% Mazomba Killed,
%num1%/%num2% Meditation[s] Accomplished,
%num1%/%num2% Members Found,
%num1%/%num2% Members Online,
%num1%/%num2% Memory Fragments Combined,
%num1%/%num2% Memory Games,
%num1%/%num2% Miniatures Unlocked,
%num1%/%num2% Missives Read,
%num1%/%num2% Moa Races Won,
%num1%/%num2% Monster[s] Killed,
%num1%/%num2% Mordrem Champions Killed,
%num1%/%num2% Motes Collected,
%num1%/%num2% Naga Looters Struck,
%num1%/%num2% Nightmare Chamber[s] Completed,
%num1%/%num2% Nightmare Chamber[s] Discovered,
%num1%/%num2% Octovine[s] Assaulted,
%num1%/%num2% Ogres Slain,
%num1%/%num2% Olmakhan Support Mark[s] Contributed,
%num1%/%num2% Online,
%num1%/%num2% Ooze-Sparing Subject 7 Kills,
%num1%/%num2% Orb[s] of Ascension Captured,
%num1%/%num2% Orrian pearls collected.,
%num1%/%num2% Parenting Milestones Reached,
%num1%/%num2% Phytotoxins Collected,
%num1%/%num2% Piece[s] Remaining,
%num1%/%num2% Pieces,
%num1%/%num2% Pieces of Candy Corn Donated,
%num1%/%num2% Pieces of Zhaitaffy Contributed,
%num1%/%num2% Pips Earned,
%num1%/%num2% Pirates Slain,
%num1%/%num2% Piñatas Pummeled,
%num1%/%num2% Player[s] Defeated,
%num1%/%num2% Player[s] Defeated in Battle of Champion's Dusk Matches,
%num1%/%num2% Points Earned,
%num1%/%num2% Posters Read,
%num1%/%num2% Powder Kegs Placed,
%num1%/%num2% Present[s] Retrieved,
%num1%/%num2% Pristine Spore Samples Delivered,
%num1%/%num2% Purist Document Fragment[s] Retrieved,
%num1%/%num2% PvP Seasonal Achievements Completed,
%num1%/%num2% Pyroxis Defeated,
%num1%/%num2% Queen's Gauntlet Bosses Defeated,
%num1%/%num2% Queen's Gauntlet Bosses Defeated with at Least One Gambit,
%num1%/%num2% Questions Answered,
%num1%/%num2% Race[s] Completed,
%num1%/%num2% Races Finished,
%num1%/%num2% Races Run,
%num1%/%num2% Rank Points<br>%str1%,
"%num1%/%num2% Ranked Match[pl:""Matches""] Played during 2v2 Season Four",
"%num1%/%num2% Ranked Match[pl:""Matches""] Played during 2v2 Season Three",
"%num1%/%num2% Ranked Match[pl:""Matches""] Won during 2v2 Season Four",
"%num1%/%num2% Ranked Match[pl:""Matches""] Won during 2v2 Season Three",
%num1%/%num2% Ranked Matches Played during 2v2 Season One,
%num1%/%num2% Ranked Matches Played during 3v3 Season One,
%num1%/%num2% Ranked Matches Played during 3v3 Season Three,
%num1%/%num2% Ranked Matches Played during 3v3 Season Two,
%num1%/%num2% Ranked Matches Played during Conquest Season Twenty-One,
%num1%/%num2% Ranked Matches Won during 2v2 Season One,
%num1%/%num2% Ranked Matches Won during 3v3 Season One,
%num1%/%num2% Ranked Matches Won during 3v3 Season Three,
%num1%/%num2% Ranked Matches Won during 3v3 Season Two,
%num1%/%num2% Ranked Matches Won during Conquest Season Twenty-One,
%num1%/%num2% Raptor[s] Ridden,
%num1%/%num2% Rare Enemies Defeated,
%num1%/%num2% Rare Flower[s] Found,
%num1%/%num2% Ravenous Crew Defeats,
%num1%/%num2% Reality Tears Studied,
%num1%/%num2% Recruited Faction[s] Aided with a Challenge Active,
%num1%/%num2% Refugee Possessions Returned,
%num1%/%num2% Relics Retrieved,
%num1%/%num2% Revenge of the Capricorn Achievements Completed,
%num1%/%num2% Revenge of the Marionette Achievement[s] Completed,
%num1%/%num2% Revives,
%num1%/%num2% Rifts Closed,
%num1%/%num2% Rituals Completed,
%num1%/%num2% Room Completed,
%num1%/%num2% Room Completed without Being Hit,
%num1%/%num2% Round 3 Hologram Stampedes Complete,
%num1%/%num2% Rounds Complete,
%num1%/%num2% Saddle Parts Collected,
%num1%/%num2% Scale 10 Fractal[s] Conquered,
%num1%/%num2% Scale 11 Fractal[s] Conquered,
%num1%/%num2% Scale 14 Fractal[s] Conquered,
%num1%/%num2% Scale 15 Fractal[s] Conquered,
%num1%/%num2% Scale 16 Fractal[s] Conquered,
%num1%/%num2% Scale 18 Fractal[s] Conquered,
%num1%/%num2% Scale 19 Fractal[s] Conquered,
%num1%/%num2% Scale 1–20 Fractals Conquered,
%num1%/%num2% Scale 2 Fractal[s] Conquered,
%num1%/%num2% Scale 21 Fractal[s] Conquered,
%num1%/%num2% Scale 21–50 Fractals Conquered,
%num1%/%num2% Scale 24 Fractal[s] Conquered,
%num1%/%num2% Scale 27 Fractal[s] Conquered,
%num1%/%num2% Scale 28 Fractal[s] Conquered,
%num1%/%num2% Scale 30 Fractal[s] Conquered,
%num1%/%num2% Scale 31 Fractal[s] Conquered,
%num1%/%num2% Scale 32 Fractal[s] Conquered,
%num1%/%num2% Scale 34 Fractal[s] Conquered,
%num1%/%num2% Scale 35 Fractal[s] Conquered,
%num1%/%num2% Scale 36 Fractal[s] Conquered,
%num1%/%num2% Scale 37 Fractal[s] Conquered,
%num1%/%num2% Scale 39 Fractal[s] Conquered,
%num1%/%num2% Scale 4 Fractal[s] Conquered,
%num1%/%num2% Scale 40 Fractal[s] Conquered,
%num1%/%num2% Scale 42 Fractal[s] Conquered,
%num1%/%num2% Scale 47 Fractal[s] Conquered,
%num1%/%num2% Scale 48 Fractal[s] Conquered,
%num1%/%num2% Scale 5 Fractal[s] Conquered,
%num1%/%num2% Scale 51–100 Fractals Conquered,
%num1%/%num2% Scale 53 Fractal[s] Conquered,
%num1%/%num2% Scale 54 Fractal[s] Conquered,
%num1%/%num2% Scale 58 Fractal[s] Conquered,
%num1%/%num2% Scale 59 Fractal[s] Conquered,
%num1%/%num2% Scale 6 Fractal[s] Conquered,
%num1%/%num2% Scale 60 Fractal[s] Conquered,
%num1%/%num2% Scale 61 Fractal[s] Conquered,
%num1%/%num2% Scale 62 Fractal[s] Conquered,
%num1%/%num2% Scale 64 Fractal[s] Conquered,
%num1%/%num2% Scale 65 Fractal[s] Conquered,
%num1%/%num2% Scale 66 Fractal[s] Conquered,
%num1%/%num2% Scale 67 Fractal[s] Conquered,
%num1%/%num2% Scale 68 Fractal[s] Conquered,
%num1%/%num2% Scale 7 Fractal[s] Conquered,
%num1%/%num2% Scale 70 Fractal[s] Conquered,
%num1%/%num2% Scale 74 Fractal[s] Conquered,
%num1%/%num2% Scale 75 Fractal[s] Conquered,
%num1%/%num2% Scale 8 Fractal[s] Conquered,
%num1%/%num2% Scarlet's Playhouse Completed,
%num1%/%num2% Scarlet's Playhouse Escaped Alive,
%num1%/%num2% Season Ranked Matches Won,
%num1%/%num2% Secret Room Successfully Entered,
%num1%/%num2% Security Controls Overridden,
%num1%/%num2% Ships Sabotaged,
%num1%/%num2% Shops Visited in World 1 Tribulation Mode,
%num1%/%num2% Shops visited in World 2 Tribulation Mode,
%num1%/%num2% Shots Fired,
%num1%/%num2% Shrines Powered in Siren's Landing,
%num1%/%num2% Siege Weapons Destroyed,
