hash,шов,перевод
12b16ad24f76c24e,точка+заглавная,"При критическом ударе, атаке врагов со спины или фланга, либо при ударе по врагу с решимостью, вы вдохновляетесь «Рвением Каллы».Даёт доступ к навыкам <c=@abilitytype>Приказа цитадели</c>."
1320e326028667ed,точка+заглавная,"Создает поле молний в вашем местоположении, затем призывает гироскопы, чтобы добить врагов и воскресить союзников в поле.Прерванные гироскопы уничтожаются."
161fc289a4bc538b,точка+заглавная,"Перегрузка. Высвобождает пламя, даруя могущество союзникам и поджигая врагов. По завершении заклинания создает торнадо, которое продолжает даровать могущество и поджигать врагов.Использование этого навыка увеличивает время перезарядки настройки."
1fd1c752bef11c8f,точка+заглавная,"Тень. Войдите в пустынный покров, получая мощный барьер и испуская импульсы некротической энергии вокруг ваших песчаных теней.Цели, затронутые этой способностью, могут получить эффект только один раз за импульс."
24fbcb288cded529,точка+заглавная,"Стойка. Пока вы в этой стойке, удары по врагу накладывают яд и даруют вам мощь.Этот эффект может срабатывать раз в интервал."
26a41ad8a1e7e112,точка+заглавная,"Засада. Выпустите вихрь энергии хаоса, который накладывает на врагов вредоносные состояния. Союзники рядом с вами получают благословения.Клоны, использующие эту атаку, накладывают свои благословения вокруг вас, а не вокруг себя."
28cf2821eb1d46a1,точка+заглавная,"Пассивный эффект печати: Даёт 25% к скорости передвижения вам и вашему питомцу.Активный эффект печати: Атаки вас и вашего питомца становятся неблокируемыми, и вы оба получаете суперскорость."
3138b1564d23870c,точка+заглавная,Пассивный эффект печати: Похищает здоровье у ближайших врагов во время боя.Активный эффект печати: Исцеляет вас и помечает врага. Союзные игроки будут вытягивать жизнь из помеченного врага.
3189c525e7d211e2,точка+заглавная,"Пассивный эффект печати: Снижает время перезарядки других печатей.Активный эффект печати: Приказывает меху выстрелить из его ультимативного оружия — нефритовой пушки. Если мех не призван, он призывается, даже если Crash Down на перезарядке."
31a6cc0e9eec39c2,точка+заглавная,Пассивный эффект печати: Даёт повышенную силу.Активный эффект печати: Сила значительно увеличивается на короткое время.
330fc904b78e652b,точка+заглавная,"Пассивный эффект печати: Увеличивает ярость вам и вашему питомцу.Активный эффект печати: Использует силу земли, чтобы обездвижить врагов вокруг вас."
36ecf2ce9be9231d,точка+заглавная,"Добродетель: Регенерация здоровья.Активация: Прыгает в целевую область, исцеляя союзников в ней."
38ee67a371d2ea9c,точка+заглавная,Пассивный эффект печати: Снижает входящий урон.Активный эффект печати: Исцеляет вас и даёт стабильность.
3ceb66059e3af4a4,точка+заглавная,"Пассивный эффект печати: Исцеляет вас всякий раз, когда вы призываете иллюзию.Активный эффект печати: Исцелите себя и сократите перезарядку навыков фантазмов."
3ebecca25bf459e1,точка+заглавная,Пассивный эффект печати: Даёт повышенную точность.Активный эффект печати: Восполните выносливость и очистите состояния с ближайших союзников.
4291e42ce9b3a8e7,точка+заглавная,"Мантра. Читайте ритуал очищения, снимая состояния и ускоряя восстановление.Последний заряд этого умения более мощный."
431bbee62f29b161,точка+заглавная,"Суровая магическая нестабильность региона ограничила число ваших воскрешений. Когда вас воскрешают из формы огонька, этот эффект снимается.Когда эффект снят, вас больше нельзя воскресить из формы огонька."
491be377f72d34d4,точка+заглавная,"Пассивный эффект печати: Периодически исцеляет союзников в области вокруг вас во время боя.Активный эффект печати: Направляет исцеление и благословения в большой области вокруг вас, завершаясь мощным исцелением, если навык не будет прерван."
5a60691ed2b5818d,точка+заглавная,Пассивный эффект печати: Исцеляет вас и вашего меха каждую секунду.Активный эффект печати: Исцелите себя и вашего меха.
63636275d8dd8c59,точка+заглавная,Пассивный эффект печати: Исцеляет при атаке.Активный эффект печати: Получите здоровье.
6388fc894ee7d178,точка+заглавная,"Инструмент. Сыграйте очаровательную мелодию на флейте, сбивая с толку врагов перед собой. Враги в центре музыки будут ошеломлены.Флейта поглотит все ноты, чтобы продолжить играть в фоновом режиме. Длительность игры флейты увеличивается за каждую поглощенную ноту."
663a28d8e8282280,точка+заглавная,Пассивный эффект печати: Даёт стремительность и дополнительное случайное благословение каждые десять секунд.Активный эффект печати: Продлевает длительность всех благословений на вас.
6c57946bb9ccc523,точка+заглавная,"Пассивный эффект печати: Увеличивает наносимый урон от состояний.Активный эффект печати: Создает вокруг вас поле, наносящее урон и накладывающее состояния на ближайших врагов. Если ваш мех активен, поле исходит от него и следует за ним."
6d51519ca9b03ae8,точка+заглавная,"Высвобожденная засада. Ударьте по земле булавой, создавая каскад буйного роста, который обездвиживает пораженные цели и исцеляет ближайших союзников. Получите Силу природы, если попадете по врагу.Этот навык не может активировать Силу природы."
6d685d89d9b72c1b,точка+заглавная,"Легендарный ренегат. Призовите лейтенанта Офела Рассекающая Души, чтобы наделить атаки союзников невероятной жаждой крови, нанося урон и восстанавливая здоровье. Soulcleave также будет поражать врагов и исцелять союзников в области, когда вы используете навык легендарного ренегата.Лейтенант Soulcleave может усиливать игроков для вытягивания жизни только раз в интервал, и это не действует на неигровых персонажей."
709f0c648e387701,точка+заглавная,"Войдите в Предвестник Shroud, получая мощные атакующие навыки, но становясь уязвимым для атак.Пока вы находитесь в Предвестник Shroud, вы со временем накапливаете скверну (blight).Скверна уменьшает ваше максимальное здоровье."
72937a9de22f0fed,точка+заглавная,"Пассивный эффект печати: Генерирует жизненную силу во время боя.Активный эффект печати: Пожертвуйте здоровьем, чтобы оживить одного поверженного союзника в целевой области."
7311d18f8f6c4656,точка+заглавная,"Создает яростное извержение, наносящее урон врагам.Урон снижается при последующих попаданиях по тому же врагу."
7a9bd1743712449a,точка+заглавная,<c=@abilitytype>Легендарный Альянс.</c> Способности получают дополнительный бонус. Активация «Слияния энергии» или «Тактики Альянса» даёт оба бонуса одновременно в большем объёме ближайшим союзникам.Способности Kurzick дают регенерацию.Способности Luxon дают мощь.
7cb3419274ab2e7a,точка+заглавная,"Стойка. Ваши успешные атаки вызывают второй удар, пока вы в этой стойке.Этот эффект может срабатывать раз в интервал."
7efa7a0998fccd06,точка+заглавная,"Тень. Войдите в финальный покров, испуская импульсы барьера союзникам вокруг себя и подготавливая покров к мощной детонации, которая наносит урон врагам и усиливает союзников.Цели могут получить эффект от детонации только один раз за активацию."
7ffc7e4e4a002ad8,точка+заглавная,Пассивный эффект печати: Увеличивает скорость передвижения. Получаемые вами благословения копируются на ваш мех.Активный эффект печати: Вы и ваш мех совершаете теневой шаг к целевой области. Снимает состояния с вас и вашего меха.
82ddb38f7bff3d61,точка+заглавная,Пассивный эффект печати: Даёт вам повышенный урон от состояний.Активный эффект печати: Обездвижьте и подожгите вашу цель.
858d7a492482680e,точка+заглавная,"Пассивный эффект печати: Снижает длительность входящих состояний.Активный эффект печати: Наносит урон и накладывает холод на врагов, исцеляя и воскрешая союзников в области."
8766991e49c5a2cf,точка+заглавная,"Добродетель: Периодически даёт эгиду.Активация: Даёт эгиду, сопротивление и Благословение Светила вам и ближайшим союзникам.При следующем использовании Сверкающего клинка наносит увеличенный урон и обездвиживает врагов. При следующем использовании Лучезарного оплота даёт барьер ближайшим союзникам."
87a9c25f98ade6ae,точка+заглавная,"Пассивный эффект печати: Снижает длительность входящих оглушений, ошеломлений, страха и провокации.Активный эффект печати: Превращает врага в птицу моа.(У врагов с полоской стойкости она будет уменьшена.)"
89ebe617ce5e95f7,точка+заглавная,"Добродетель: Регенерация здоровья.Активация: Исцеляет вас и ближайших союзников, даруя ауру света. При следующем использовании Светящегося посоха исцеляет союзников и даёт им регенерацию."
8bea895d57d0df7f,точка+заглавная,Добродетель: Поджигает врагов каждые несколько атак.Активация: Даёт стремительность. При следующем использовании Ослепляющего молота создает отложенный вторичный удар.
8c48c180fee3a742,точка+заглавная,"Тень. Песок поднимается рядом с вашими тенями, чтобы защитить ближайших союзников.Цели, затронутые этой способностью, могут получить эффект только один раз за применение."
8e9699699d44e22c,точка+заглавная,"Пассивный эффект печати: Увеличивает силу.Активный эффект печати: Накладывает на врага кровотечение, ослепление, увечье, яд, уязвимость и слабость."
8f5b13025885410c,точка+заглавная,Пассивный эффект печати: Вы и ваш питомец восстанавливаете здоровье.Активный эффект печати: Даёт сопротивление и решимость вашему питомцу; он притягивает состояния от ближайших союзников на себя.
957cb0ef29866b06,точка+заглавная,Пассивный эффект печати: Даёт 25% к скорости передвижения.Активный эффект печати: Ослепите вашу цель и ближайших врагов.
95d60f9363586859,точка+заглавная,"Пассивный эффект печати: Даёт адреналин во время боя.Активный эффект печати: Получите ярость, мощь и стремительность."
9636986d1d07992c,точка+заглавная,"Инструмент. Исполните мелодию на лютне, посылая наносящие урон звуковые волны в сторону врага и исцеляющие тона в сторону союзников.Лютня поглотит все ноты, чтобы продолжить играть в фоновом режиме. Длительность игры лютни увеличивается за каждую поглощенную ноту."
97acf36045a27407,точка+заглавная,"Инструмент. Получите искажение и перебирайте струны арфы, непрерывно исцеляя ближайших союзников.Арфа поглотит все ноты, чтобы продолжить играть в фоновом режиме. Длительность игры арфы увеличивается за каждую поглощенную ноту."
9a4d4a5485d09b66,точка+заглавная,"Создает поле молний в указанной точке, затем призывает гироскопы, чтобы добить врагов и воскресить союзников в поле.Прерванные гироскопы уничтожаются."
b0749d1608b78fe2,точка+заглавная,"Приветствую,Приорат Дурманда, Дозор и Орден Шёпота давно сообщают о своих каждодневных мучениях: как безопасно провести войска через суровые земли Прыжка Малхора. Однако недавно они прислали весть о вашем пребывании в тех краях.
 Они говорят, что вы приняли этот вызов и проложили собственные тропы к тамошней нежити. Похоже, вы помогли решить многие из этих трудностей с переброской войск.Учитывая историческую значимость Орра, мы в Тирийском обществе исследователей смотрим на ваши недавние подвиги и с восхищением, и с завистью. Вы поистине вдохновляете своих собратьев.— Тирийское общество исследователей"
b086ba832b4194b0,точка+заглавная,"Тень. Наведите страх на врагов вокруг ваших песчаных теней.Цели, затронутые этой способностью, могут получить эффект только один раз за применение."
b5245554131950c5,точка+заглавная,"Пассивный эффект печати: Увеличивает силу.Активный эффект печати: Атаки становятся неблокируемыми, и вы получаете могущество."
b94e91a0018015e6,точка+заглавная,"Призрачный. Примите форму лича на короткое время, увеличивая свою точность и живучесть. Получайте жизненную силу, когда действие навыка заканчивается.Принятие этой формы снимает другие призрачные эффекты."
c5c589ff1a5613df,точка+заглавная,"Инструмент. Ударьте в барабан, чтобы высвободить ударную волну, выводящую врагов из строя. Сила вывода из строя увеличивается, чем ближе находится враг.Барабан поглотит все ноты, чтобы продолжить играть в фоновом режиме. Длительность игры барабана увеличивается за каждую поглощенную ноту."
c684282670ebb6f5,точка+заглавная,Пассивный эффект печати: Снижает входящий урон от состояний.Активный эффект печати: Передает ваши состояния врагу.
c7abd4633c76353e,точка+заглавная,Пассивный эффект печати: Создает клона каждые несколько секунд.Активный эффект печати: Перезаряжает навыки разбивания.
cb4cc938962ffa11,точка+заглавная,Добродетель: Регенерация здоровья.Активация: Исцеляет вас и ближайших союзников.
d3486f4e6a53d6dc,точка+заглавная,Команда. Наложите барьер на себя и окружающих союзников.Эхо. Снова накладывает барьер на союзников через заданный интервал или после использования вами навыка серии.
d759cebbe3da75e2,точка+заглавная,"Добродетель. Поджигает врагов каждые несколько атак.Активация: Мечет копьё света, пронзающее врагов. Пораженные враги становятся привязанными и периодически получают состояния."
db4dd737ae0b5734,точка+заглавная,Пассивный эффект печати: Увеличивает мастерство.Активный эффект печати: Ослепляет ближайших врагов и накладывает на вас скрытность.
dfd7499104cade74,точка+заглавная,Пассивный эффект печати: Увеличивает стойкость вам и вашему питомцу.Активный эффект печати: Вы и ваш питомец не получаете урона от атак. Вы и ваш питомец по-прежнему уязвимы к состояниям и эффектам контроля.
e181652bd0691f3a,точка+заглавная,Стойка. Уклонение и получение выносливости. Восстановление выносливости значительно ускорено. Вы получаете мощь и суперскорость при уклонении от атак.Бонусы за уклонение могут срабатывать раз в интервал.
e744bc929ee8f3f2,точка+заглавная,Пассивный эффект печати: Улучшает концентрацию.Активный эффект печати: Оживите ближайшего поверженного союзника.
e82b83b92a5c7b47,точка+заглавная,"Зверь. Получает скрытность и повышенный шанс критического удара и свирепость на короткое время. Даёт вашему рейнджеру скрытность.Этот навык не даст скрытность вашему рейнджеру, если он сбит с ног."
ea312e78524efe22,точка+заглавная,Команда. Нанесите урон и наложите состояния на врагов вокруг вас.Эхо. Наносит урон и обездвиживает врагов через заданный интервал или после использования вами навыка серии.
eff6cbe9b57f8c11,точка+заглавная,"Перегрузка. Создает поток накопленной магии воды, исцеляя и очищая союзников. По завершении заклинания исцеляет область и накладывает регенерацию.Использование этого навыка увеличивает время перезарядки настройки."
f37062dbb1d6c4cd,точка+заглавная,"Создает поле молний в указанной точке. Затем призывает гироскопы, чтобы добить врагов и воскресить союзников в поле. Время перезарядки этого навыка увеличивается за каждый гироскоп, созданный сверх первого.Прерванные гироскопы уничтожаются."
fb4d8b1a78e59d14,точка+заглавная,"Перегрузка. Вы используете накопленную магию земли, даруя защиту союзникам, мимо которых проходите, и накладывая увечье на врагов. В конце наносит мощный удар по области, обездвиживая врагов и оставляя пылевой циклон с теми же эффектами.Использование этого навыка увеличивает время перезарядки настройки."
fdda0c6da1d7b813,точка+заглавная,"Команда. Здоровье ваших союзников не может опуститься ниже нуля в течение короткого времени. После окончания эффекта дарует барьер, пропорциональный их недостающему здоровью. Некоторые босс-навыки могут игнорировать эффект этого навыка.Эхо. Дарует суперскорость ближайшим союзникам через заданный интервал или после использования вами навыка серии."
