english,translate,layer
The Apparatus,Аппарат,pn_names
Bengt Tovasson,Бенгт Товассон,pn_names
Warden Idon,Варден Идон,pn_names
Izurri,Изурри,pn_names
Timurr Pacesetter,Тимурр Пейссеттер,pn_names
Warden Lochin,Варден Лохин,pn_names
Nahu,Наху,pn_names
Kossan Dejarin,Коссан Дежарин,pn_names
Hierarch Chikere,Иерарх Чикере,pn_names
Kennelmaster Jalil,Кеннельмастер Джалил,pn_names
Yoso,Йосо,pn_names
Zegg,Зегг,pn_names
Nallas,Наллас,pn_names
Tristanak,Тристанак,pn_names
Warden Fermeoir,Варден Фермуар,pn_names
Trainer Raji,Тренер Раджи,pn_names
Vanna,Ванна,pn_names
Lehtkir,Леткир,pn_names
Yasna,Ясна,pn_names
Jordekka,Йордекка,pn_names
Ruki,Руки,pn_names
Instructor Kaeli,Инструктор Каэли,pn_names
Vienathari,Вьенатари,pn_names
Fiana,Фиана,pn_names
Agora,Агора,pn_names
Reginald,Реджинальд,pn_names
Risen Prince Nekandezzar,Воскресший принц Некандеззар,pn_names
Techutli,Техутли,pn_names
Zemzer,Земзер,pn_names
Vizier Ghil Ironghoul,Визирь Гил Айронгул,pn_names
Preceptor Doern Velazquez,Прецептор Дёрн Веласкес,pn_names
Preceptor Valenze,Прецептор Валензе,pn_names
Tactician Sarrena,Тактик Сарена,pn_names
Niilo Wolfskinner,Ниило Вольфскинернер,pn_names
Pier Darkmountain,Пир Даркмаунтин,pn_names
Nicholas Winters,Николас Винтерс,pn_names
Risen General Azuldin,Воскресший генерал Азульдин,pn_names
Sjoerd,Сьерд,pn_names
Preceptor Halvora Snapdagger,Прецептор Халвора Снэпдаггер,pn_names
Flame Centurion Kagaar,Огненный центурион Кагаар,pn_names
Necromancer Rissa,Некромант Рисса,pn_names
Esmet Ravenswhisper,Эсмет Рейвенсвиспер,pn_names
MRDRBOT,МРДРБОТ,pn_names
Warden Llewyr,Варден Ллевир,pn_names
Prince Nekandezzar,Принц Некандеззар,pn_names
Chromatic Cubozoa,Хроматическая кубозоа,pn_names
Felix,Феликс,pn_names
Sato,Сато,pn_names
Willem,Виллем,pn_names
Morwen,Морвен,pn_names
Pugine,Пугина,pn_names
Trinna,Тринна,pn_names
Naiko,Найко,pn_names
Anthos,Антос,pn_names
Halan Frohmanj,Халан Фроманж,pn_names
Meeka,Миика,pn_names
Tek'gune,Тек’гуне,pn_names
Watl,Ватл,pn_names
Zazzl,Зазл,pn_names
Skippy,Скиппи,pn_names
Deno Scratchback,Дено Скрэтчбэк,pn_names
Thyrie Bylund,Тири Байлунд,pn_names
Quennida,Квеннида,pn_names
Rota,Рота,pn_names
Valrun,Вальрун,pn_names
Mate Watt,Мэйт Ватт,pn_names
Ancora Bellum,Анкора Беллум,pn_names
Asmund,Асмунд,pn_names
Ancora Pax,Анкора Пакс,pn_names
Glub,Глуб,pn_names
Vurn,Вурн,pn_names
Anima,Анима,pn_names
Chin-Hwa,Чин-Хва,pn_names
Mensorr,Менсорр,pn_names
Dian Horrigan,Диан Хорриган,pn_names
Delilah,Делайла,pn_names
Kai Clashscorn,Кай Клашскорн,pn_names
