file,line,source,translate
items/items_114.csv,4,Track 6: Taimi's Game Part 2,'Трек 6: Игра Тайми
items/items_116.csv,15,"Unpack a siege disrupter. This trick lowers outgoing damage and increases incoming damage of enemy siege equipment for 35 seconds, and it disables golems for 20 seconds. Costs 10 supply to deploy. Cannot be blocked.
Deployment Range: 1,200
Effect Radius: 300","Радиус действия: 300"""
items/items_125.csv,198,"'""Double-click to add 3 spaces to this account''s Build Storage.'","'""Дважды щелкните"
items/items_126.csv,297,"Combine 250 Refined Metal, 250 Refined Wood
This item is purchased from Deft Lahar in your homestead.","Этот предмет можно купить у Лахара Ловкого в вашем доме."""
items/items_126.csv,308,"Combine a Gift of the Appetizer, a Gift of the Entrée
Created in the Mystic Forge by combining:,
• 200 Meaty Asparagus Skewers,
• 100 Bowls of Black Pepper Cactus Salad,
• 30 Mystic Clovers,
• 5 Fruits of the Shadow","• 5 плодов тени"""
items/items_126.csv,309,"Combine a Gift of the Appetizer, a Gift of the Entrée
Created in the Mystic Forge by combining:,
• 200 Plates of Orrian Steak Frittes,
• 100 Plates of Truffle Steak,
• 50 Plates of Spicy Herbed Chicken,
• 5 Fruits of the Shadow","• 5 плодов тени"""
items/items_127.csv,109,"Gideon Hawthorn II,
003 Tide IIX0,
Natural","Естественн"""
items/items_127.csv,265,"Silque ,
109 Tide 00XX,
Natural","Естественн"""
items/items_127.csv,416,"Vaulz Baelwalker,
576 Frost 0X0I,576 Мороз 0X0I
Knowledge","Знание"""
items/items_127.csv,425,"Yexxi the Stern,
092 Tide 00XI,
Knowledge","Знание"""
main/main_004.csv,469,"***Dieses zerfledderte Bilderbuch wurde offenbar von einem Bärchen verfasst und illustriert. Den Einband ziert ein kleiner Tatzenabdruck.***    Es war einmal eine schläfrige verlassene Hütte am Rand von Erntehöhle. Aber diese Hütte war anders als alle anderen, denn sie hatte Beine! Sie waren so lang wie die Beine eines Reihers und so stark, als würden sie dem schnellsten Wanderling im Derby gehören.    Aber nicht nur die Beine waren das Besondere an dieser Hütte. Sie schnarchte auch noch! Jede Nacht. Laut und ausgiebig. Einige Bärlinge in der Nachbarschaft beklagten sich, weil sie wegen der Hütte nicht mehr schlafen konnten. Aber das donnernde Schnarchen war noch nicht alles, denn der Schornstein hustete und rauchte. Die Bärlinge im Dorf hielten das Getöse bald nicht mehr aus!    Eines Morgens klopften die Nachbarn an die Tür der Hütte. Sie versuchten es zumindest. Aber die Hütte hatte so lange Beine, dass niemand die Tür erreichen konnte! Ein paar Bärlinge versuchten, an den Beinen hochzuklettern, aber die Hütte war sehr kitzelig. Sie musste lachen und wackelte dabei so sehr, dass die Bärlinge gleich wieder herunterpurzelten.    Sie dachten sich also etwas Neues aus. Die Bärlinge warfen Steine nach der Tür, um damit Klopfgeräusche zu machen. Das schien auch zu funktionieren, aber dann traf ein Stein versehentlich das Fenster, welches klirrend zerbrach!    ""Aua!"" kreischte die Hütte. Glasscherben rieselten wie Tränen an ihr herab. Die Bärlinge riefen laut ""Entschuldigung!"", aber es war zu spät. Die Hütte rannte beleidigt davon und zertrampelte dabei noch so viele Blumen und Gartenbeete im Dorf, wie sie nur konnte.     Viele Monde lang wusste niemand im Dorf der Bärlinge, wohin die Hütte gelaufen war. Es ging das Gerücht, man hätte sie im Moor gesehen, aber niemand hatte den Mut, das zu überprüfen. Tatsächlich hatte die Hütte am Rand des Moores ein geheimes Fleckchen gefunden, wo niemand sie mehr ärgern konnte.    Aber dann ... erschien eines Tages eine fremde Frau auf ihrer Türschwelle. Wie sie es geschafft hatte, so weit an den Beinen hochzuklettern, war selbst der Hütte in Rätsel.    Sie sagte, ""Du armes Ding"", und ihre Stimme triefte vor Mitleid. ""Diese grässlichen Bärlinge sind ja so gemein"", säuselte sie. Da 䄀渀猀攀呀薬韍ꭄⓎଉ㹼feứa ᐀猭៴灤ۖ簶償퇙攀爀戀礀 最攀蕽ꪭ䧼⺚摇拦䷮ퟕ踺Ḷ攧tsel.  hat. V weir dann trafen Beinen hi so seh䥲⺚Gs Fenstschuldigunn klen杤ie haein啥ine snseerser Hüttermesdon浮so wei楴ber dssr, um nn trafe weid. nge im e.䄠an ge imtlic潨en konnt vonrücht, ""Die汳 aucchnar畣notse琠suchten fremdAber das n wir 晳t, 瑤ässlle. las䕳li慣 Siln frermes es zumie婳lle.     Es suchtetern, 䵷 Alices 睓ücht,rkun坤d 歪Blitz睳Hütt牥äss瑬慣 打. DatecWildnnebdas zu über  Ste scketage  Ich bttenebdas z.. e䙲闋湏媧歆�ᰯ쵰??Fenstes niben ihr s瑬慣 打. Drücht,  me摨ie 楢u beg湩. err dr. Aliden Matt- Es ging degendä Bei sinderh, wesi≮n, a汢atteen Bärzelt癥㹼feér ngen.4G?涚 wiedend si赥憟駸憠.4G den猠d 晳渀搀ⴀ䴀攀攀te sst瑥Siln fpfgerFens噴 der愠. Wi浥 wiedenmde Fra fpf潧⹻䃊שׁ⠜Pschaft beklaesﱥen, aber 걈焘鮳絟骬ᨖ?***Dimes  Alice浳, wes敩tz睳Hütt湥m n畮att- E䭳ingezur朠r �ein啥ine传휉駀錩�¨ol捬e Ort fremdAber s 浩erprünn trafե�諍4G?沚慣 Siln hochdon塮✛蛙畷e naschiie Kondeetteieselten wezepteherunt汥ۖ簶償퇙 Es gin癧㹼feersesuchte?Fenstan䅤chs湺Ers塮✛ÙGroß楳wiedenmigeschnup买⸀㜀䈀܀hochices Savo⁮nt vo瑮mme tren. ?%str1爥r 瑮im≳锬畇Ɛ?eett詥4G?cheem癥dass nkonrmÆ?Groß楳wiedeezaus⹥vo陮鳎ꊷZ f癲⑇.?睗war. Et牥äB蛤?Feldnotizen aus Janthir: Trollhöhle","***Эта потрёпанная книжка с картинками, по всей видимости, написана и разрисована медвежонком. Обложку украшает маленький отпечаток лапы.***    Жила-была сонная заброшенная избушка на краю Harvest Den. Но эта избушка была не такой, как все, ведь у неё были ноги! Длинные, как у цапли, и сильные, словно принадлежали самому быстрому скороходу на скачках.    Но не только ноги были в этой избушке особенными. Она ещё и храпела! Каждую ночь. Громко и вволю. Некоторые медведи по соседству жаловались, что из-за избушки не могут больше спать. Но громовой храп был ещё не всё, ведь труба кашляла и дымила. Деревенские медведи вскоре уже не могли выносить этот гвалт!    Однажды утром соседи постучали в дверь избушки. По крайней мере, попытались. Но у избушки были такие длинные ноги, что до двери никто не мог дотянуться! Несколько медведей попробовали вскарабкаться по ногам, но избушка была очень щекотлива. Ей приходилось смеяться, и она при этом так тряслась, что медведи тут же скатывались обратно.    Тогда они придумали кое-что новое. Медведи стали бросать в дверь камни, чтобы получился стук. Это вроде бы сработало, но потом один камень случайно попал в окно, которое со звоном разбилось!    «Ай!» — взвизгнула избушка. Осколки стекла заструились по ней, как слёзы. Медведи громко закричали «Извините!», но было слишком поздно. Обиженная избушка умчалась прочь, растоптав по пути столько цветов и садовых грядок в деревне, сколько смогла.     Много лун никто в деревне медведей не знал, куда убежала избушка. Ходил слух, будто её видели на болоте, но ни у кого не хватало смелости это проверить. И правда, избушка нашла на краю болота укромное местечко, где никто больше не мог её донимать.    Но однажды... на её пороге появилась незнакомая женщина. Как ей удалось забраться так высоко по ногам, оставалось загадкой даже для самой избушки.    Она сказала: «Ты, бедняжка», и её голос сочился жалостью. «Эти ужасные медведи бывают так жестоки», — проворковала она. И тут ... [далее в исходном тексте книги повреждение данных: середина и конец нечитаемы. По уцелевшим фрагментам это та же сказка, что и «...ты отлично подойдёшь для моих дел здесь, на болоте», — с чужачкой, что чинит окно и поселяется в избушке.] ... Feldnotizen aus Janthir: Trollhöhle"
main/main_005.csv,344,"+200 Condition Damage for 30 Seconds on Kill
+70 Precision
+10%% Experience from Kills","+100 Урон от состояний на 30 секунд при убийстве
+40 Точность
+10%% Опыт за убийства"
main/main_005.csv,418,"+30 Ferocity
Day: 12%% Chance to Burn on Critical Hit
Night: 12%% Chance to Steal Life on Critical Hit
+10%% Experience from Kills",+20 СвирепостьДень: 14%% шанс поджечь при крит. удареНочь: 14%% шанс украсть жизнь при крит. ударе+10%% Опыт за убийства
main/main_005.csv,485,"+5 Power
+2 Condition Damage","+7 к силе, +5 к урону от состояний"
main/main_006.csv,63,"+50 Vitality
+80 Power When Health below 50%%
+10%% Experience from Kills","+100 Живучесть
+200 Сила когда здоровье ниже 50%%
+10%% Опыт за убийства"
main/main_007.csv,420,"Attention Heroes!
An extra bounty has been placed on meta-events throughout Tyria. Completing them before 10:00 a.m. Pacific Time (UTC-7) on Tuesday, June 11 will grant you extra Bonus Boxes of Goods. Additionally, if the community completes enough of these events, all participants will be granted bonus rewards. See Bonus Events in the Achievements tab of the Hero panel for more info. Participants will have until 10:00 a.m. Pacific Time (UTC-7) on June 25 to claim their community-goal rewards.
Happy hunting!","Внимание, герои!В честь седьмой годовщины Guild Wars 2 на врагов ранга «чемпион» в Центральной Tyria назначена дополнительная награда. Чемпионы, побеждённые до 10:00 по тихоокеанскому времени (UTC
-7) во вторник, 27 августа, в различных областях Криты, Дрожащих пиков, Аскалона, джунглей Магуумы и Орра, принесут вам Знаки чемпиона, которые можно обменять у офицеров Консорциума в крупных городах на бонусные ящики с товарами. Более того, если сообщество одолеет достаточно этих чемпионов, все участники получат дополнительные награды. Подробности — в разделе «Бонусные события» на вкладке достижений панели героя. У участников будет время до 10:00 по тихоокеанскому времени (UTC
-7) 9 сентября, чтобы получить награды за общую цель сообщества.Удачной охоты!"
main/main_010.csv,162,"Incident Number 329

Incident Report Filed by: Captain Fa, Xunlai Guard

On the morning of Songtahn 21st, 0330 hours, 1843, Xunlai Security responded to a silent alarm emanating from the lobby of the Yong reactor complex. Xunlai Security mechs were activated, but the signal was lost shortly after.

In response, Xunlai Security personnel were dispatched to the facility from the surface. Per standard procedure, two units were dispatched: one general security team, and one squad of elite units who have knowledge of the ""asset."" Upon arrival in the lobby, the remains of six jade tech guard mechs were discovered strewn across the entryway.

While general security was ordered to secure the lobby, the elite guard proceeded down to the reactor core. In the reactor room, the elite guard encountered a single perpetrator attempting to sabotage a nearby security console. When confronted, the perpetrator, whom Xunlai Security has now been able to identify as one Mai Trin, initially made gestures of hostile intent but upon seeing that she was outnumbered, wisely opted to stand down.

The perpetrator is being held in a maximum security Xunlai Jade facility off-site. We've received orders directly from Lady Joon that she wishes to speak privately with the perpetrator. Please see attached addendum.","Инцидент №329

Рапорт об инциденте составлен: капитаном Фа, охрана Ксунлай

Утром 21 числа месяца Сонгтан, в 03:30, 1843 года, служба безопасности Ксунлай отреагировала на сигнал тревоги, поступивший из вестибюля реакторного комплекса Йонг. Механизмы безопасности Ксунлай были активированы, но сигнал вскоре пропал.

В ответ на это персонал службы безопасности Ксунлай был направлен на объект с поверхности. Согласно стандартной процедуре, были направлены два подразделения: одна общая группа безопасности и один отряд элитных бойцов, знакомых с «активом». По прибытии в вестибюль останки шести охранных механизмов из жадеита были обнаружены разбросанными по всему входу.

Пока общая служба безопасности получила приказ охранять вестибюль, элитная охрана спустилась к реакторному ядру. В реакторном зале элитная охрана столкнулась с одним злоумышленником, пытавшимся взломать ближайшую консоль охраны. При столкновении злоумышленник, которого служба безопасности Ксунлай теперь смогла опознать как Май Трин, изначально проявила враждебные намерения, но, увидев, что ее численно превосходят, благоразумно решила сдаться.

Злоумышленница содержится в охраняемом учреждении Ксунлай из жадеита за пределами объекта. Мы получили прямой приказ от леди Джун, что она желает поговорить с ней наедине. См. прилагаемое дополнение."
main/main_011.csv,495,"The Plan  
  
Target: The Vaults  
  
Location: Lion's Arch  
  
The Mark: Captain Evon Gnashblade  
  
The Take: Said to be six million in gold, double that for silver. Unknown copper amount. Platinum, perhaps? Only touch Evon's personal fortune; meddling with the market itself would only paint targets on us.  
  
Security: Two Lionguard at main entrance, 24-hour watch. Two Lionguard by the vault door, 24-hour watch. Nine staff in lobby. Unknown number of security inside vault. Expected to be heavy, with further traps.  
  
Time: Night. Need exquisite night vison and a sensitive smeller to keep watch. Also require a loud voice to warn us of trouble once we are inside.  
  
Phase 1: Need a team to distract the guards at the front of the vault—someone cacophonous and cute. Rest of the team will approach the back of the vaults from the inner harbor. There is a small creek with some crabs, but no Lionguard. Ideally, we persuade the crabs to help if I can find some brains who can perform a bit of smooth talking. Also need strong swimmers, since this will be exit route. Ribbington has already placed a boat by the bridge for the getaway.  
  
Phase 2: Tunnel through the rock wall by the creek—they were sloppy during the reconstruction, neglected to fix many of the cracks and holes made during the attack. The smallest of us slip through. In case the distraction does not pull the security out of the vault, will need someone unbothered by a bit of bloodshed to deal with them—preferably no casualties—and the ability to fly would be scrumptious; people rarely consider airborne threats, so traps are likely to be ground based. Could get a small flyer to disable them...an insect, perhaps?  
  
Phase 3: Enter Evon's personal vault and start ferrying the gold out to the hired muscle by the tunnel, as much as we can carry. In and out, quick and quiet. Leave enough gold that the copper-coveting charr won't realize anything is missing until it's far too late.  
  
Phase 4: Pearl Islet is particularly pretty this time of year...","План

Цель: Хранилища

Место: Львиный Шрам

Метка: Капитан Эвон Гнашклин

Добыча: Говорят, шесть миллионов золотом, вдвое больше серебром. Неизвестное количество меди. Платина, возможно? Трогать только личное состояние Эвона; вмешательство в сам рынок лишь навлечет на нас цели.

Охрана: Два Львиных Стража у главного входа, круглосуточная вахта. Два Львиных Стража у двери хранилища, круглосуточная вахта. Девять сотрудников в вестибюле. Неизвестное количество охраны внутри хранилища. Ожидается, что будет много, с дополнительными ловушками.

Время: Ночь. Нужно отличное ночное зрение и чуткое обоняние для наблюдения. Также требуется громкий голос, чтобы предупредить нас о беде, когда мы окажемся внутри.

Фаза 1: Нужна команда, чтобы отвлечь охрану у входа в хранилище — кто-то шумный и милый. Остальная команда подойдет к задней части хранилищ из внутренней гавани. Там есть небольшой ручей с крабами, но без Львиных Стражей. В идеале, мы уговорим крабов помочь, если я найду мозги, способные на гладкую речь. Также нужны сильные пловцы, так как это будет путь отхода. Риббингтон уже поставил лодку у моста для побега.

Фаза 2: Прорыть туннель через скальную стену у ручья — они были небрежны во время реконструкции, пренебрегли исправлением многих трещин и дыр, сделанных во время атаки. Самый маленький из нас проскользнет внутрь. Если отвлечение не выманит охрану из хранилища, понадобится кто-то, кого не смущает немного кровопролития, чтобы разобраться с ними — желательно без жертв — и умение летать было бы восхитительно; люди редко учитывают угрозы с воздуха, поэтому ловушки, скорее всего, наземные. Можно было бы заполучить маленького летуна, чтобы обезвредить их... насекомое, возможно?

Фаза 3: Войти в личное хранилище Эвона и начать вывозить золото к нанятым громилам через туннель, столько, сколько сможем унести. Войти и выйти, быстро и тихо. Оставить достаточно золота, чтобы жадный до меди чарр не понял, что что-то пропало, пока не станет слишком поздно.

Фаза 4: Жемчужный Островок особенно красив в это время года..."
main/main_012.csv,7,"The aforementioned compiled code sheet has now been provided for your convenvience. Ensure all staff are aware of these fail-safe codes.

Compiled Codes

S41ty D0g: 1312

J1mmy: 1723

Johnny Redknees: 8231

J3ss: 0334

Shortshanks the Knuckledragger: 5791","Вышеупомянутый сборный лист кодов теперь предоставлен для вашего удобства. Убедитесь, что весь персонал знает эти аварийные коды.Сборные кодыС0лёный Пёс: 1312Дж1мми: 1723Джонни Редкнис: 8231Дж3сс: 0334Шортшанкс Костоправ: 5791"
main/main_012.csv,188,"This pack contains the following items:
•1 Box o' Fun
•5 Dye Packs
•5 Black Lion Chest Keys
•1 Recovery Package
•1 Tradesman's Package
•5 Experience Boosters
•5 Speed Boosters
•1 Mini Egg (Series 1)
•1 Black Lion Trading Satchel (18-Slot Bag)
•1 500-Point Essence of Luck","Этот набор содержит следующие предметы:
•1 Коробка веселья
•5 Наборов красителей
•5 Ключей от сундука Чёрного льва
•1 Пакет восстановления
•1 Пакет торговца
•5 Ускорителей опыта
•5 Ускорителей скорости
•1 Мини-яйцо (Серия 1)
•1 Сумка для торговли Чёрного льва (сумка на 18 ячеек)
•1 Эссенция удачи на 500 очков"
misc/misc_007.csv,262,Complete the Guild Wars 2: Visions of Eternity story chapter Solid Ground to unlock the Skimmer Adaptation Mastery track.,"Завершите область заданий Highjump Ranch в Desert Highlands, чтобы открыть ветку мастерства «Заяц»."
misc/misc_010.csv,344,"Episode 4: One Charr, One Dragon, One Champion","Один Чарр, Один Дракон, Один Чемпион"
misc/misc_010.csv,345,Episode 4: Recalibrating the Waypoints,Перекалибровка путевых точек
misc/misc_010.csv,348,Episode 6: Tracking the Aspect Masters,По следам Мастеров Аспектов
new/new_012.csv,292,Escorted Project FRU1TPUNCH,Проект ФРУТОВЫЙПУНШ сопровождён
new/new_014.csv,290,Golemancy 101.,Големансия для начинающих.
new/new_035.csv,208,"1-2-3, die!","Раз-два-три, умри!"
new/new_115.csv,5,![lbracket]alt text[rbracket](https://loadinginfo.staticwars.com/uploads/2026/02/26/08-42-16-831-SeerTablet04.png),![lbracket]alt text[rbracket](https://loadinginfo.staticwars.com/uploads/2026/02/26/08-42-16-834-SeerTablet00.png)
new/new_115.csv,92,"300 Tales[pl:""Tales""] of Dungeon Delving",Сказания о подземельях
new/new_117.csv,375,Episode 1: Cave of the Sunspear Champion,Пещера Чемпиона Солнечных Копий
new/new_117.csv,376,Episode 6: Shining Blade Headquarters,Штаб-квартира Сияющего Клинка
story/story_001.csv,92,1. The Hospital in Jeopardy,"Я сделаю все, что смогу, мать-дерево."
story/story_001.csv,322,8. Temple of the Forgotten God,"—С искренним уважением,Капитан Jayne из Jackdaws"
traits/traits_005.csv,186,Virtue skill 1 is renewed when you kill a foe.,Доблесть обновляется при убийстве врага.
ui/ui_015.csv,391,(Bonus Week) Complete the Return to Season 4 Achievement,(Бонусная неделя) Выполните достижение «Возвращение в четвёртый сезон»
ui/ui_024.csv,280,Abomination leaps forward and unleashes a massive 2-handed blow,Мерзость прыгает вперёд и обрушивает мощный двуручный удар
ui/ui_042.csv,395,China-only: Appropriate message to inform underage accounts that they can only access the game between 8pm and 9pm on certain days.,"Только для Китая: Соответствующее сообщение для информирования несовершеннолетних аккаунтов о том, что они могут играть только с 20:00 до 21:00 в определенные дни."
ui/ui_050.csv,212,Daily achievements reset at 0000 (UTC).,Ежедневные достижения сбрасываются в 00:00 (UTC).
ui/ui_075.csv,67,Guild Wars 2: End of Dragons required to purchase episode.,Для покупки эпизода требуется дополнение «Закат драконов».
ui/ui_081.csv,415,"Incident Number 329Incident Report Filed by: Captain Fa, Xunlai GuardOn the morning of Songtahn 21st, 0330 hours, 1843, Xunlai Security responded to a silent alarm emanating from the lobby of the Yong reactor complex. Xunlai Security mechs were activated, but the signal was lost shortly after.In response, Xunlai Security personnel were dispatched to the facility from the surface. Per standard procedure, two units were dispatched: one general security team, and one squad of elite units who have knowledge of the ""asset."" Upon arrival in the lobby, the remains of six jade tech guard mechs were discovered strewn across the entryway.While general security was ordered to secure the lobby, the elite guard proceeded down to the reactor core. In the reactor room, the elite guard encountered a single perpetrator attempting to sabotage a nearby security console. When confronted, the perpetrator, whom Xunlai Security has now been able to identify as one Mai Trin, initially made gestures of hostile intent but upon seeing that she was outnumbered, wisely opted to stand down.The perpetrator is being held in a maximum security Xunlai Jade facility off-site. We've received orders directly from Lady Joon that she wishes to speak privately with the perpetrator. Please see attached addendum.","Происшествие № 329Отчёт подан: капитан Фа, стража СюньлайУтром 21-го сонгтана, в 03:30, 1843 год, охрана Сюньлай отреагировала на беззвучную тревогу из вестибюля реакторного комплекса Ён. Охранные мехи Сюньлай были активированы, но вскоре сигнал от них пропал.В ответ на это к объекту с поверхности были направлены сотрудники охраны Сюньлай. По установленному порядку выслали два подразделения: одну группу общей охраны и одно отделение элитных бойцов, осведомлённых об «активе». По прибытии в вестибюль там были обнаружены останки шести нефрит-технологических охранных мехов, разбросанные по всему входу.Группе общей охраны было приказано взять вестибюль под контроль, а элитная стража спустилась к ядру реактора. В реакторном зале элитная стража застала одну нарушительницу, пытавшуюся вывести из строя ближайшую охранную консоль. При задержании нарушительница, которую охране Сюньлай удалось опознать как некую Май Трин, поначалу выказала враждебные намерения, но, увидев численный перевес, благоразумно предпочла сдаться.Нарушительница содержится на удалённом объекте Сюньлай Джейд особого режима. Мы получили распоряжение лично от госпожи Джун: она желает поговорить с нарушительницей наедине. См. приложение."
ui/ui_098.csv,162,Money 4 U,Деньги для тебя
ui/ui_098.csv,296,Monthly achievements reset at 0000 (UTC) on the first day of the month.,Ежемесячные достижения сбрасываются в 00:00 (UTC) первого числа каждого месяца.
ui/ui_101.csv,408,"Now that Guild Wars 2: Heart of Thorns is included free with Guild Wars 2: Path of Fire, we want to thank all our players who purchased it. In appreciation for your loyalty and dedication to the game, we've enclosed a Heart of Thorns Veteran's Pack with an exclusive glider, title, and armor voucher. Enjoy your attached rewards, and thank you for your support!","Теперь, когда Сердце Терний включено в состав Тропы Огня, мы хотим поблагодарить всех игроков, которые приобрели его. В знак признательности за вашу верность и преданность игре, мы приложили к вам пакет ветерана «Сердце Терний» с эксклюзивным планером, титулом и ваучером на броню. Наслаждайтесь полученными наградами и спасибо за вашу поддержку!"
ui/ui_107.csv,165,"Pick up your spear, mount your warclaw, and journey to the Isle of Janthir to claim your homestead. Guild Wars 2: Janthir Wilds includes a fresh new story, a new raid and other challenging encounters, and a year of ongoing content updates.","Возьмите свою копьё, сядьте на боевого клава, и отправляйтесь на Остров Джантир, чтобы завоевать своё имение. В дополнении «Джантирские диколы» представлена новая история, новый рейд и другие сложные испытания, а также обновления контента на целый год."
ui/ui_117.csv,345,Recipe[s]: Irresistible Javalinas (Level 71),Рецепт[|а|ов]: Неотразимые дротики
ui/ui_143.csv,244,The aforementioned compiled code sheet has now been provided for your convenvience. Ensure all staff are aware of these fail-safe codes.Compiled CodesS41ty D0g: 1312J1mmy: 1723Johnny Redknees: 8231J3ss: 0334Shortshanks the Knuckledragger: 5791,"Вышеупомянутый сборный лист кодов теперь предоставлен для вашего удобства. Убедитесь, что весь персонал знает эти аварийные коды.Сборные кодыС0лёный Пёс: 1312Дж1мми: 1723Джонни Редкнис: 8231Дж3сс: 0334Шортшанкс Костоправ: 5791"
ui/ui_146.csv,102,"The Plan    Target: The Vaults    Location: Lion's Arch    The Mark: Captain Evon Gnashblade    The Take: Said to be six million in gold, double that for silver. Unknown copper amount. Platinum, perhaps? Only touch Evon's personal fortune; meddling with the market itself would only paint targets on us.    Security: Two Lionguard at main entrance, 24-hour watch. Two Lionguard by the vault door, 24-hour watch. Nine staff in lobby. Unknown number of security inside vault. Expected to be heavy, with further traps.    Time: Night. Need exquisite night vison and a sensitive smeller to keep watch. Also require a loud voice to warn us of trouble once we are inside.    Phase 1: Need a team to distract the guards at the front of the vault—someone cacophonous and cute. Rest of the team will approach the back of the vaults from the inner harbor. There is a small creek with some crabs, but no Lionguard. Ideally, we persuade the crabs to help if I can find some brains who can perform a bit of smooth talking. Also need strong swimmers, since this will be exit route. Ribbington has already placed a boat by the bridge for the getaway.    Phase 2: Tunnel through the rock wall by the creek—they were sloppy during the reconstruction, neglected to fix many of the cracks and holes made during the attack. The smallest of us slip through. In case the distraction does not pull the security out of the vault, will need someone unbothered by a bit of bloodshed to deal with them—preferably no casualties—and the ability to fly would be scrumptious; people rarely consider airborne threats, so traps are likely to be ground based. Could get a small flyer to disable them...an insect, perhaps?    Phase 3: Enter Evon's personal vault and start ferrying the gold out to the hired muscle by the tunnel, as much as we can carry. In and out, quick and quiet. Leave enough gold that the copper-coveting charr won't realize anything is missing until it's far too late.    Phase 4: Pearl Islet is particularly pretty this time of year...","«План»    Цель: Хранилища    Место: Lion's Arch    Клиент: капитан Evon Gnashblade    Куш: говорят, шесть миллионов золотом, вдвое больше серебром. Меди — неизвестно. Может, платина? Трогаем только личное состояние Evon; влезать в сам рынок — значит рисовать на себе мишени.    Охрана: двое Львиных стражей у главного входа, круглосуточно. Двое у двери хранилища, круглосуточно. Девять служащих в вестибюле. Число охраны внутри хранилища неизвестно. Ожидается серьёзная, плюс ловушки.    Время: ночь. Нужно отличное ночное зрение и чуткий нюх для дозора. Ещё нужен громкий голос — предупредить о неприятностях, когда будем внутри.    Фаза 1: нужна команда для отвлечения стражи у входа в хранилище — кто-то шумный и милый. Остальная команда подходит к задней стороне хранилищ со стороны внутренней гавани. Там ручеёк с крабами, но без Львиной стражи. В идеале уговорим крабов помочь, если найду мозговитых, способных красиво заболтать. Ещё нужны сильные пловцы — это будет путь отхода. Ribbington уже поставил лодку у моста для побега.    Фаза 2: туннель через каменную стену у ручья — при реконструкции они схалтурили и не заделали трещины и дыры, оставшиеся после атаки. Самые мелкие из нас пролезут. Если отвлечение не выманит охрану из хранилища, понадобится кто-то, кого не смущает немного крови, чтобы разобраться с ними — желательно без жертв, — а умение летать было бы просто объедение; воздушные угрозы редко кто учитывает, так что ловушки, скорее всего, наземные. Мелкий летун мог бы их отключить... насекомое, может?    Фаза 3: входим в личное хранилище Evon и начинаем таскать золото к нанятым силачам у туннеля — сколько унесём. Туда и обратно, быстро и тихо. Оставляем столько золота, чтобы жадный до меди чарр не заметил пропажи, пока не станет слишком поздно.    Фаза 4: Pearl Islet особенно хорош в это время года..."
