english,translate
Supple Leather Mask Skin,Облик маски из мягкой кожи
Supple Leather Shoulderpads,Гибкие кожаные наплечники
Supple Leather Shoulderpads Skin,Облик наплечников из мягкой кожи
Supply Bag,Мешок припасов
Supply Cache,Тайник припасов
Supply can be used to build various siege engines and repair structures in WvW.,Припасы можно использовать для строительства различных осадных орудий и ремонта сооружений в режиме «Мировые против Мировых».
Supply Drop Tactic,Тактика сброса припасов
Supply Package,Комплект припасов
Supply Removal Trap,Ловушка удаления припасов
Supply Run: Bronze,Поставка: бронза
Supply Sack,Мешок припасов
"Support a candidate: Ellen Kiel or Evon Gnashblade. Spend this token at one of the support boxes in Zephyr Sanctum, and let your voice be heard.","Поддержите кандидата: Эллен Киль или Эвона Гнашблейда. Потратьте этот жетон у одного из коробок поддержки в Святилище Зефира, и пусть ваш голос будет услышан."
Support Booster,Усилитель поддержки
Support Reminder,Напоминание о поддержке
Support Token,Жетон поддержки
Supreme Rune of Holding,Верховная руна вместилища
Surely this should satisfy Bright Shore's hunger.,Наверняка это должно утолить голод Светлого Берега.
Surplus Cloth Leggings,Излишние тканевые поножи
Surplus Delivery Box,Коробка дополнительной доставки
Surplus Heavy Leggings,Излишние тяжёлые поножи
Surplus Leather Leggings,Излишние кожаные поножи
Surplus Lionguard Boots,Излишние сапоги Львиной стражи
Surplus Lionguard Leather Boots,Излишние кожаные сапоги Львиной стражи
Surplus Lionguard Shoes,Излишние туфли Львиной стражи
Surprisingly well manicured,Удивительно ухоженные
"Surprisingly, newborn skimmer pups don't need any parental care after birth.
Combine 1 Black and 2 Gold Mini Skimmer Pups with 20 Unidentified Dyes in the Mystic Forge to create a Mini Lantern Skimmer Pup.","Удивительно, но новорожденные детеныши скользней не нуждаются в родительской заботе после рождения.
Объедините 1 чёрного и 2 золотых мини-питомца «Скиммер» с 20 неопознанными красками в мистической кузнице, чтобы создать мини-питомца «Летящий фонарик»."
"Surprisingly, newborn skimmer pups don't need any parental care after birth.
Combine 1 Black and 2 Orange Mini Skimmer Pups with 12 Unidentified Dyes in the Mystic Forge to create a Mini Gold Skimmer Pup.","Удивительно, но новорожденным детенышам скользней не требуется никакой родительской заботы после рождения.
Объедините 1 чёрного и 2 оранжевых мини-питомца «Скиммер» с 12 неопознанными красками в мистической кузнице, чтобы создать мини-питомца «Золотой Скиммер»."
"Surprisingly, newborn skimmer pups don't need any parental care after birth.
Combine 1 Blue and 2 Green Mini Skimmer Pups with 4 Unidentified Dyes in the Mystic Forge to create a Mini Orange Skimmer Pup.
Combine 1 Orange and 2 Blue Mini Skimmer Pups with 4 Unidentified Dyes in the Mystic Forge to create a Mini Purple Skimmer Pup.","Удивительно, но новорождённым детёнышам скользней не требуется родительская забота после рождения.
Соедините в Мистической кузнице 1 синего и 2 зелёных мини-детёнышей скользня с 4 неопознанными красками, чтобы создать мини-оранжевого детёныша скользя.
Соедините в Мистической кузнице 1 оранжевого и 2 синих мини-детёнышей скользня с 4 неопознанными красками, чтобы создать мини-фиолетового детёныша скользя."
"Surprisingly, newborn skimmer pups don't need any parental care after birth.
Combine 1 Blue, 1 Green, and 1 Orange Mini Skimmer Pup with 8 Unidentified Dyes in the Mystic Forge to create a Mini White Skimmer Pup.","Удивительно, но новорожденным детенышам скользней не требуется никакой родительской заботы после рождения.
Соедините 1 синий, 1 зелёный и 1 оранжевый мини-питомец «Скиммер» с 8 единицами неопознанных красок в мистической кузнице, чтобы создать мини-питомца «Белый Скиммер»."
"Surprisingly, newborn skimmer pups don't need any parental care after birth.
Combine 1 Blue, 1 Green, and 1 Purple Mini Skimmer Pup with 8 Unidentified Dyes in the Mystic Forge to create a Mini Black Skimmer Pup.","Удивительно, но новорожденные детеныши скользней не нуждаются в родительской заботе после рождения.
Объедините 1 синий, 1 зелёный и 1 фиолетовый мини-питомец «Скиммер» с 8 неопознанными красками в Мистической кузнице, чтобы создать мини-питомца «Чёрный Скиммер»."
"Surprisingly, newborn skimmer pups don't need any parental care after birth.
Combine 1 Purple and 2 White Mini Skimmer Pups with 12 Unidentified Dyes in the Mystic Forge to create a Mini Silver Skimmer Pup.","Удивительно, но новорожденным детенышам скользней не требуется родительская забота после рождения.
Соедините 1 фиолетового и 2 белых мини-питомца «Скиммер» с 12 неопознанными красками в мистической кузнице, чтобы создать мини-питомца «Серебряный Скиммер»."
"Surprisingly, newborn skimmer pups don't need any parental care after birth.
Combine 1 White, 1 Black, and 1 Silver Mini Skimmer Pup with 20 Unidentified Dyes in the Mystic Forge to create a Mini Iceberg Skimmer Pup.","Удивительно, но новорожденные детеныши скользящих тварей не нуждаются в родительской заботе после рождения.
Соедините 1 белого, 1 чёрного и 1 серебряного мини-питомца «Скиммер» с 20 неопознанными красками в мистической кузнице, чтобы создать мини-питомца «Айсберг»."
"Surprisingly, newborn skimmer pups don't need any parental care after birth.
Combine 3 Mini Blue Skimmer Pups with 2 Unidentified Dyes in the Mystic Forge to create a Mini Green Skimmer Pup.","Удивительно, но новорожденным детенышам скользней не требуется родительская забота после рождения.
Соедините 3 мини-скользня размером «мини» синего цвета с 2 неизвестными красками в Мистической кузнице, чтобы создать мини-скользня размером «мини» зелёного цвета."
Surveillance Data,Данные наблюдения
Survival Supplies,Припасы для выживания
Survivor Search,Поиск выживших
Survivor's Architeuthis,Архитеутис выжившего
Survivor's Barnacle Scraper,Скребок для ракушек выжившего
Survivor's Cannon Law,Артиллерийское право выжившего
Survivor's Concordance,Согласие выжившего
Survivor's Crack o' Red Dawn,Трещина красного рассвета выжившего
Survivor's Crowncrusher,Крушитель корон выжившего
Survivor's Cry,Крик выжившего
Survivor's Darkdevoted Kris,Тёмный преданный крис выжившего
Survivor's Deerchaser,Олений гонитель выжившего
Survivor's Dignity,Достоинство выжившего
Survivor's Discretion,Осмотрительность выжившего
Survivor's Disputation,Спор выжившего
Survivor's Dun Targe,Данский тарг выжившего
Survivor's Eagle's Perch,Орлиное гнездо выжившего
Survivor's Eerie Conch,Жуткая раковина выжившего
Survivor's Elkslayer,Лосеубийца выжившего
Survivor's Enchanted Compass,Зачарованный компас выжившего
Survivor's Eye of Astrix,Око Астрикса выжившего
Survivor's Flangeflare,Пламенная секира выжившего
Survivor's Francisca,Франциска выжившего
Survivor's Great Sledge,Великая кувалда выжившего
Survivor's Griffoncrack,Грифонолом выжившего
Survivor's Honor of Njal,Честь Ньяла выжившего
Survivor's Hue,Оттенок выжившего
Survivor's Kessene Wreath,Кессенский венок выжившего
Survivor's Lantern of the Lost,Фонарь Потерянных выжившего
Survivor's Leopard's Bite,Укус леопарда выжившего
Survivor's Majestic Hand,Величественная рука выжившего
Survivor's Mournsword,Скорбный меч выжившего
Survivor's Obedience,Послушание выжившего
Survivor's Ominous Egg,Зловещее яйцо выжившего
Survivor's Oxenblade,Бычий клинок выжившего
Survivor's Pride of Arms,Гордость оружия выжившего
Survivor's Prince's Praise,Хвала принца выжившего
Survivor's Queen's Retort,Ответ королевы выжившего
Survivor's Redeye Maul,Красноглазая дубина выжившего
Survivor's Returner's Gaff,Гарпун Возвращающегося выжившего
Survivor's Rota Misfortuna,Колесо Неудачи выжившего
Survivor's Royal Barber,Королевский цирюльник выжившего
Survivor's Scramasax,Скрамасакс выжившего
Survivor's Shell of Secrets,Раковина Тайн выжившего
Survivor's Short-Tailed Shot,Короткохвостый выстрел выжившего
Survivor's Skaaldsinger,Скальдсингер выжившего
Survivor's Sorrowmaker,Печалетворец выжившего
Survivor's Spitespewer,Злобоплюй выжившего
Survivor's Stagsign,Олений знак выжившего
Survivor's Thunderbluss,Громовая бомбарда выжившего
Survivor's Weatherwrack,Погодный разлом выжившего
Survivor's Yew Rod,Тисовый жезл выжившего
Suspicious Junk,Подозрительный хлам
Suspicious Order,Подозрительный приказ
Suspicious Package,Подозрительная посылка
Suti's Hexbreaker,Разрушитель чар Сууна
Suun's Armor Recipe Book,Книга рецептов брони Суун
Suun's Artifact,Артефакт Сууна
Suun's Bastion,Бастион Сууна
Suun's Blade,Клинок Сууна
Suun's Brazier,Жаровня Сууна
Suun's Breastplate,Нагрудник Сууна
Suun's Breeches,Штаны Сууна
Suun's Claymore,Клеймор Сууна
Suun's Doublet,Дублет Сууна
Suun's Dragon Insignia,Инсигния дракона Суун
Suun's Epaulets,Эполеты Сууна
Suun's Flanged Mace,Фланцевая булава Сууна
Suun's Footwear,Обувь Сууна
Suun's Greatbow,Большой лук Сууна
Suun's Greaves,Наголенники Сууна
Suun's Grips,Хваты Сууна
Suun's Guise,Личина Сууна
Suun's Harpoon Gun,Гарпунное ружьё Сууна
Suun's Herald,Глашатай Сууна
Suun's Impaler,Пронзатель Сууна
Suun's Inscription,Гравировка Сууна
Suun's Leggings,Поножи Сууна
Suun's Masque,Маска Сууна
Suun's Musket,Мушкет Сууна
Suun's Pauldrons,Наплечники Сууна
Suun's Razor,Бритва Сууна
Suun's Reaver,Жнец Сууна
Suun's Revolver,Револьвер Сууна
Suun's Short Bow,Короткий лук Сууна
Suun's Shoulderguard,Наплечный доспех Сууна
Suun's Spire,Шпиль Сууна
Suun's Striders,Походные сапоги Сууна
Suun's Tassets,Набедренники Сууна
Suun's Trident,Трезубец Сууна
Suun's Visage,Лик Сууна
Suun's Visor,Забрало Сууна
Suun's Wand,Жезл Сууна
Suun's Warfists,Боевые рукавицы Сууна
Suun's Warhammer,Боевой молот Сууна
Suun's Weapon Recipe Book,Книга рецептов оружия Суун
Suun's Wristguards,Наручи Сууна
Svaard's Artifact,Артефакт Сваарда
Svaard's Bastion,Бастион Сваарда
Svaard's Blade,Клинок Сваарда
Svaard's Brazier,Жаровня Сваарда
Svaard's Breastplate,Нагрудник Сваарда
Svaard's Breeches,Штаны Сваарда
Svaard's Claymore,Клеймор Сваарда
Svaard's Cloth Breather,Сварда тканевый респиратор
Svaard's Doublet,Дублет Сваарда
Svaard's Epaulets,Эполеты Сваарда
Svaard's Flanged Mace,Фланцевая булава Сваарда
Svaard's Footwear,Обувь Сваарда
Svaard's Greatbow,Большой лук Сваарда
Svaard's Greaves,Наголенники Сваарда
Svaard's Grips,Хваты Сваарда
Svaard's Guise,Личина Сваарда
Svaard's Harpoon Gun,Гарпунное ружьё Сваарда
Svaard's Herald,Глашатай Сваарда
Svaard's Impaler,Пронзатель Сваарда
Svaard's Leather Breather,Кожаный респиратор Сварда
Svaard's Leggings,Поножи Сваарда
Svaard's Marauder Inscription,Гравировка мародёра Сваарда
Svaard's Marauder Insignia,Инсигния мародёра Сваарда
Svaard's Masque,Маска Сваарда
Svaard's Metal Breather,Металлический респиратор Сварда
Svaard's Musket,Мушкет Сваарда
Svaard's Pauldrons,Наплечники Сваарда
Svaard's Razor,Бритва Сваарда
Svaard's Reaver,Жнец Сваарда
Svaard's Revolver,Револьвер Сваарда
Svaard's Short Bow,Короткий лук Сваарда
Svaard's Shoulderguard,Наплечный доспех Сваарда
Svaard's Spire,Шпиль Сваарда
Svaard's Striders,Походные сапоги Сваарда
Svaard's Tassets,Набедренники Сваарда
Svaard's Trident,Трезубец Сваарда
Svaard's Visage,Лик Сваарда
Svaard's Visor,Забрало Сваарда
Svaard's Wand,Жезл Сваарда
Svaard's Warfists,Боевые рукавицы Сваарда
Svaard's Warhammer,Боевой молот Сваарда
Svaard's Wristguards,Наручи Сваарда
Svan Song,Песнь Свана
Svanir Axe,Топор Сванира
Svanir Bow,Лук Сванира
Svanir Dagger,Кинжал Сванира
Svanir Defender,Щит Сванира
Svanir Disguise: Chest,Маскировка Сванира: Грудь
Svanir Disguise: Helm,Маскировка сванира: Шлем
Svanir Disguise: Legs,Маскировка сванира: ноги
Svanir Focus,Фокус Сванира
Svanir Gauntlets,Рукавицы Сванира
Svanir Greatsword,Двуручный меч Сванира
Svanir Harpoon Gun,Гарпунное ружьё Сванира
Svanir Mace,Булава Сванира
Svanir Pistol,Пистолет Сванира
Svanir Rifle,Винтовка Сванира
Svanir Scepter,Скипетр Сванира
Svanir Spear,Копьё Сванира
Svanir Staff,Посох Сванира
Svanir Talisman,Талисман Сванира
Svanir Warhammer,Молот Сванира
Svanir Warhorn,Боевой рог Сванира
Swaggering Boots Skin,Облик «Щегольские сапоги»
Swaggering Cape,Плащ «Щегольский»
Swaggering Hat Skin,Облик «Щегольская шляпа»
Swamp Gas,Болотный газ
Swamp Grass Dye,Краска «Болотная трава»
Swamp-Cured Leather,Кожа болотной выделки
Swampblack Dye,Краска «Болотно-чёрный»
Swampblight Lamprey,Болотная минога
Swampland Challenge Mote,Частица испытания фрактала «Топи»
Swampworn Lowland Shore Gear Box,Коробка снаряжения «Болотистый низинный берег»
Swarm Logging Flute,Флейта для рубки роя
Swashbuckler's Package,Посылка авантюриста
Sweet Bean Bun,Сладкая булочка с бобами
Sweet Campfire Treat,Сладкое лакомство у костра
Sweet Ring,Сладкое кольцо
Sweet Treat Harvesting Tool,Инструмент для сбора сладких угощений
Sweet Treat Logging Tool,Инструмент для рубки сладких угощений
Sweet Treat Mining Tool,Инструмент для добычи сладких угощений
Sweet-Treated Pine Plank,Пропитанная сладостями сосновая доска
Swelter's Gait,Поступь Свелтера
Sweptweave Rifle,Винтовка «Свиптвив»
Sweptweave Schematic,Схема «Вихревое плетёние»
Swift Egg,Быстрое яйцо
Swift Griffon Necklace,Ожерелье быстрого грифона
Swift Moa Feather,Перо быстрого моа
Swift Skiffs: Bronze,Быстрые лодки: бронза
Swift Skiffs: Gold,Быстрые лодки: золото
Swift Skiffs: Silver,Быстрые лодки: серебро
Swiftly Scrambled Eggs,Быстрая яичница-болтунья
Swiftwing Raptor Mount Skin,Облик раптора «Быстрокрыл»
Swig of Instant World Experience,Глоток мгновенного мирового опыта
Swig of Liquid Karma,Глоток жидкой кармы
Swim Speed Boost,Ускоритель плавания
Swim-Speed Infusion +10,Инфузия скорости плавания +10
Swim-Speed Infusion +11,Инфузия скорости плавания +11
Swim-Speed Infusion +12,Инфузия скорости плавания +12
Swim-Speed Infusion +13,Инфузия скорости плавания +13
Swim-Speed Infusion +14,Инфузия скорости плавания +14
Swim-Speed Infusion +15,Инфузия скорости плавания +15
Swim-Speed Infusion +16,Инфузия скорости плавания +16
Swim-Speed Infusion +17,Инфузия скорости плавания +17
Swim-Speed Infusion +18,Инфузия скорости плавания +18
Swim-Speed Infusion +19,Инфузия скорости плавания +19
Swim-Speed Infusion +20,Инфузия скорости плавания +20
Swim-Speed Infusion +21,Инфузия скорости плавания +21
Swim-Speed Infusion +22,Инфузия скорости плавания +22
Swim-Speed Infusion +23,Инфузия скорости плавания +23
Swim-Speed Infusion +24,Инфузия скорости плавания +24
Swim-Speed Infusion +25,Инфузия скорости плавания +25
Swim-Speed Infusion +26,Инфузия скорости плавания +26
Swim-Speed Infusion +27,Инфузия скорости плавания +27
Swim-Speed Infusion +28,Инфузия скорости плавания +28
Swim-Speed Infusion +29,Инфузия скорости плавания +29
Swim-Speed Infusion +30,Инфузия скорости плавания +30
Swimming Accessories Pack,Набор аксессуаров для плавания
Swindler Boots,Сапоги мошенника
Swindler Coat,Куртка мошенника
Swindler Gloves,Перчатки мошенника
Swindler Mask,Маска мошенника
Swindler Pants,Штаны мошенника
Swindler Pauldrons,Наплечники мошенника
Swindler Recording,Запись мошенника
"Swirling Mists faintly glow within.

<c=@reminder>May be sold to vendors.</c>","Внутри слабо светятся кружащиеся туманы.

<c=@reminder>Может быть продано торговцам.</c>"
"Swirls around your finger, a constant reminder of the impact an individual can have.","Крутится вокруг пальца, постоянное напоминание о влиянии, которое может оказать человек."
Swollen Hydra Gut,Кишка раздутой гидры
Sword of Ascalon,Меч Аскалона
Sword of the Dragon's Deep,Меч драконьей глубины
Sword Token,Жетон меча
Sworn Zaishen Helm Skin,Облик шлема присяжного зайшена
Sylph Wings Backpack,Рюкзак «Крылья сильфа»
Sylph Wings Backpack and Glider Combo,Комбо-набор «Крылья сильфа: рюкзак и планер»
Sylvan Seedstool,Сильванский семенной табурет
Sylvari Blade,Клинок сильвари
Sylvari Bow,Лук сильвари
Sylvari Culinary Demonstration,Кулинарная демонстрация сильвари
Sylvari Dagger,Кинжал сильвари
Sylvari Focus,Фокус сильвари
Sylvari Greatsword,Двуручный меч сильвари
Sylvari Harpoon,Гарпун сильвари
Sylvari Harpoon Gun,Гарпунное ружьё сильвари
Sylvari Long Bow,Длинный лук сильвари
Sylvari Loot Box,Сильвари-коробка с добычей
Sylvari Mace,Булава сильвари
Sylvari Pistol,Пистолет сильвари
Sylvari Potted Plant,Сильварийское горшечное растение
Sylvari Rifle,Винтовка сильвари
Sylvari Shield,Щит сильвари
Sylvari Short Bow,Короткий лук сильвари
Sylvari Staff,Посох сильвари
Sylvari Summit Banner,Сильварийское знамя саммита
Sylvari Summit Flag,Сильварийский флаг саммита
Sylvari Torch,Факел сильвари
Sylvari Trident,Трезубец сильвари
Sylvari Turret Seed,Семя сильварийской турели
Sylvari Warden Wall Watcher Badge,Знак стража стены сильвари
Sylvari Warhammer,Молот сильвари
Sylvari Warhorn,Боевой рог сильвари
Symbol Of Balance,Символ равновесия
Symbol of Control,Символ контроля
Symbol of Enhancement,Символ усиления
Symbol of Pain,Символ боли
Symbol of the Deceiver,Символ обманщика
Symbol of the Inquest,Символ Инквеста
Symon's History of Ascalon,История Аскалона Саймона
Symon's History of Ascalon (Infused),История Аскалона Саймона (Насыщенная)
Synergetic Assault Knight Power Core,Ядро силы «Синергетический штурмовой рыцарь»
Synergetic Generator,Синергетический генератор
Synergetic Tempered Spinal Blades,Синергетические закалённые спинные лезвия
Synergetic Tempered Spinal Blades (Infused),Синергетические закалённые спинные лезвия (насыщенные)
Synergetics Axe Skin,Облик топора «Синергетика»
Synergetics Cyberhound Skin,Облик пса «Синергетика-кибергончая»
Synergetics Cyberscale Skyscale Skin,Облик скайскейла «Синергетика-киберчешуя»
Synergetics Dagger Skin,Облик кинжала «Синергетика»
Synergetics Energized Shield Skin,Облик щита «Синергетика: заряженный»
Synergetics Focus Skin,Облик фокуса «Синергетика»
Synergetics Greatsword Skin,Облик двуручного меча «Синергетика»
Synergetics Gyrocycle Roller Beetle Skin,Облик кругложука «Синергетика-гироцикл»
Synergetics Hammer Skin,Облик молота «Синергетика»
Synergetics Headset (Down) Skin,Облик гарнитуры «Синергетика» (вниз)
Synergetics Headset (Up) Skin,Облик гарнитуры «Синергетика» (вверх)
Synergetics Headset Pack,Набор гарнитуры «Синергетика»
Synergetics Hoverbike Skimmer Skin,Облик скиммера «Синергетика-ховербайк»
Synergetics Longbow Skin,Облик длинного лука «Синергетика»
Synergetics Mace Skin,Облик булавы «Синергетика»
Synergetics Pistol Skin,Облик пистолета «Синергетика»
Synergetics Rifle Skin,Облик винтовки «Синергетика»
Synergetics Scepter Skin,Облик скипетра «Синергетика»
Synergetics Shield Skin,Облик щита «Синергетика»
Synergetics Short Bow Skin,Облик короткого лука «Синергетика»
Synergetics Spear Skin,Облик копья «Синергетика»
Synergetics Staff Skin,Облик посоха «Синергетика»
Synergetics Sword Skin,Облик меча «Синергетика»
Synergetics Torch Skin,Облик факела «Синергетика»
Synergetics Warhorn Skin,Облик боевого рога «Синергетика»
"Syrupy looking potion with the words ""Ascension is but a sip away"" scrawled on it.",Сиропообразное зелье с надписью «Вознесение в одном глотке» нацарапанной на нем.
T-Bone Steak,Стейк на Т-образной кости
Tactical Boots Skin,Облик тактических ботинок
Tactical Coat Skin,Облик тактической куртки
Tactical Gloves Skin,Облик тактических перчаток
Tactical Helm Skin,Облик тактического шлема
Tactical Leggings Skin,Облик тактических поножей
Tactical Mantle,Тактический плащ
Tactical Pauldrons,Тактические наплечники
Tactical Shoulderpads,Тактические наплечники
Tactical Shoulders Skin,Облик тактических наплечников
Tactical Torch,Тактический факел
Tactical Warhorn,Тактический боевой рог
Taffy Dye,Краска «Тянучка»
Tags any listening devices found. Use again to put away.,"Помечает все найденные подслушивающие устройства. Используйте снова, чтобы убрать."
"Taham, the Adversary of Severance","Тахам, противник разрыва"
Tahkayun's Armor Piercer,Бронебой Тайхакюна
Tahkayun's Armor Piercer Skin,Облик бронебоя Тахкаюна
Tahkayun's Blade,Клинок Тайхакюна
Tahkayun's Edge,Остриё Тайхакюна
Tahkayun's Edge Skin,Облик клинка Тахкаюна
Tahkayun's Reverse-Grip Edge,Остриё обратного хвата Тайхакюна
Tahkayun's Reverse-Grip Edge Skin,Облик обратного клинка Тахкаюна
Tahlkora's Boots,Сапоги Талхкоры
Tahlkora's Coat,Куртка Талхкоры
Tahlkora's Gloves,Перчатки Талхкоры
Tahlkora's Leggings,Поножи Талхкоры
Tahlkora's Mantle,Наплечники Талхкоры
Tahlkora's Mask,Маска Талхкоры
Tail Fin,Хвостовой плавник
Tail of the Star God Fragment,Фрагмент Хвоста Звёздного Бога
Tailor Starter Kit,Стартовый набор портного
Tailor's Harvesting Sickle,Серп портного
Tailor's Logging Axe,Топор портного
Tailor's Mining Pick,Кирка портного
"Taimi keeps studious and thorough notes.

<c=@Reminder>Hint: Somewhere near Chalon Docks Waypoint in the Domain of Istan.</c>","Тайми ведёт тщательные и подробные записи.

<c=@Reminder>Подсказка: Где-то возле Доков Чалона в точке перехода Владения Истана.</c>"
Taimi's Coffer of Holding,Сундук хранения Тайми
Taimi's Dye Kit,Набор красок Тайми
Taimi's Hair Bow,Бантик Тайми
Taimi's Outfit,Наряд Тайми
Taimi's Reunion,Воссоединение Тайми
Tainted Bloodstone Censer,Оскверненная гематитовая кадильница
Tainted Glyphic Maul,Оскверненный глифический молот
Tainted Glyphic Trispear,Оскверненная глифическая трезубец
"Take a Gift of Metal to the dredge weaponsmith's workbench located inside the Molten Furnace fractal. 
This item only has value as part of a collection.","Отнеси Дар Металла на верстак оружейника-дредноута в фрактале «Расплавленная печь».
Этот предмет ценен только как часть коллекции."
Take fortune scraps to a Black Lion Weapons Specialist or a Fortune Scrap Vendor to pick between a variety of Zephyrite goods.,"Отнесите обрывки удачи специалисту по оружию Чёрного Льва или торговцу обрывками удачи, чтобы выбрать из множества зефиритных товаров."
Take on the aspect of a mastermind.,Примите облик гения.
Take on the aspect of rage.,Примите облик ярости.
Take reduced incoming strike damage while you have resolution. <c=@reminder>This does not stack with other sources of the same effect.</c>,"Получайте меньше входящего урона от ударов, пока у вас есть решимость. <c=@reminder>Этот эффект не суммируется с другими источниками того же эффекта.</c>"
"Take the Archdiviner's Mallet from his remains at the top of the Cliffside fractal. Jump into the middle of the exploded Thaumanova Reactor in Metrica Province to charge it.
This item only has value as part of a collection.","Возьмите молот Архидиватора из его останков на вершине фрактала Скалы. Прыгните в центр взорванного реактора Таумановы в области Метрика, чтобы зарядить его.
Этот предмет имеет ценность только как часть коллекции."
Take this stone to the Mystic Forge to have Zommoros forge something special for you.,"Отнесите этот камень в Таинственную кузницу, чтобы Зомморос выковал для вас нечто особенное."
Take this ticket to a Black Lion Weapons Specialist to select a Dragon's Jade weapon skin.,"Отнесите этот билет специалисту по оружию Чёрного Льва, чтобы выбрать облик оружия из нефрита дракона."
Take this ticket to a WvW Battle Historian.,Отнесите этот билет военному историку WvW.
Take this ticket to Evon Gnashblade at the Lion's Arch Trading Post to select a Fused weapon skin.,"Отнесите этот билет Эвону Гнэшблейду в Торговый пост Львиного Архива, чтобы выбрать облик оружия из серии «Сплав»"
Take this ticket to Evon Gnashblade at the Lion's Arch trading post to select a Wintersday weapon skin.,"Отнесите этот билет Эвону Гнэшблейду в Торговый пост Львиного Архива, чтобы выбрать облик оружия Зимнего дня."
Take this to Aurene to complete the Gift of Aurene collection.,"Отнесите это Аурейн, чтобы завершить коллекцию «Дар Аурейн»."
