english,translate
Recipe[s]: Claw of Retribution,[Рецепт|Рецепта|Рецептов]: Коготь Возмездия
Recipe[s]: Clay Pot,[Рецепт|Рецепта|Рецептов]: Глиняный горшок
Recipe[s]: Clear Water Moss Cake,[Рецепт|Рецепта|Рецептов]: Пирог из мха чистой воды
Recipe[s]: Cleaver,[Рецепт|Рецепта|Рецептов]: Тесак
Recipe[s]: Cleric's Darksteel Imbued Inscription,[Рецепт|Рецепта|Рецептов]: Пропитанная инкрустация из темной стали клерика
Recipe[s]: Cleric's Intricate Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: Затейливая эмблема из паутины клерика
Recipe[s]: Cleric's Intricate Linen Insignia,[Рецепт|Рецепта|Рецептов]: Затейливая эмблема из льна клерика
Recipe[s]: Cleric's Intricate Silk Insignia,[Рецепт|Рецепта|Рецептов]: Затейливая эмблема из шелка клерика
Recipe[s]: Cleric's Mithril Imbued Inscription,[Рецепт|Рецепта|Рецептов]: Пропитанная инкрустация из мифрила клерика
Recipe[s]: Cleric's Orichalcum Imbued Inscription,[Рецепт|Рецепта|Рецептов]: Пропитанная инкрустация из орихалка клерика
Recipe[s]: Cloven Hooves (Level 20),[Рецепт|Рецепта|Рецептов]: Раздвоенные копыта (Ур. 20)
Recipe[s]: Cloven Hooves (Level 31),[Рецепт|Рецепта|Рецептов]: Раздвоенные копыта (ур. 31)
Recipe[s]: Coalforge's Artifact,[Рецепт|Рецепта|Рецептов]: Артефакт Кузнеца Угля
Recipe[s]: Coalforge's Bastion,[Рецепт|Рецепта|Рецептов]: Оплот Кузнеца Угля
Recipe[s]: Coalforge's Blade,[Рецепт|Рецепта|Рецептов]: Клинок Кузнеца Угля
Recipe[s]: Coalforge's Brazier,[Рецепт|Рецепта|Рецептов]: Жаровня Кузнеца Угля
Recipe[s]: Coalforge's Claymore,[Рецепт|Рецепта|Рецептов]: Клеймор Кузнеца Угля
Recipe[s]: Coalforge's Flanged Mace,[Рецепт|Рецепта|Рецептов]: Фланцевая булава Кузнеца Угля
Recipe[s]: Coalforge's Greatbow,[Рецепт|Рецепта|Рецептов]: Большой лук Кузнеца Угля
Recipe[s]: Coalforge's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: Гарпунное ружьё Кузнеца Угля
Recipe[s]: Coalforge's Herald,[Рецепт|Рецепта|Рецептов]: Глашатай Кузнеца Угля
Recipe[s]: Coalforge's Impaler,[Рецепт|Рецепта|Рецептов]: Пронзатель Кузнеца Угля
Recipe[s]: Coalforge's Musket,[Рецепт|Рецепта|Рецептов]: Мушкет Кузнеца Угля
Recipe[s]: Coalforge's Rampager Inscription,[Рецепт|Рецепта|Рецептов]: Надпись буйства Кузнеца Угля
Recipe[s]: Coalforge's Razor,[Рецепт|Рецепта|Рецептов]: Бритва Кузнеца Угля
Recipe[s]: Coalforge's Reaver,[Рецепт|Рецепта|Рецептов]: Опустошитель Кузнеца Угля
Recipe[s]: Coalforge's Revolver,[Рецепт|Рецепта|Рецептов]: Револьвер Коулфорджа
Recipe[s]: Coalforge's Short Bow,[Рецепт|Рецепта|Рецептов]: Короткий лук Коулфорджа
Recipe[s]: Coalforge's Spire,[Рецепт|Рецепта|Рецептов]: Шпиль Коулфорджа
Recipe[s]: Coalforge's Trident,[Рецепт|Рецепта|Рецептов]: Трезубец Коулфорджа
Recipe[s]: Coalforge's Wand,[Рецепт|Рецепта|Рецептов]: Жезл Коулфорджа
Recipe[s]: Coalforge's Warhammer,[Рецепт|Рецепта|Рецептов]: Боевой молот Коулфорджа
Recipe[s]: Coleoptera,[Рецепт|Рецепта|Рецептов]: Колеоптера
Recipe[s]: Commander's Intricate Gossamer Insignia,Рецепт[|а|ов]: замысловатая шелковая эмблема командира
Recipe[s]: Commander's Orichalcum Imbued Inscription,[Рецепт|Рецепта|Рецептов]: Командирская пропитанная орихалком надпись
Recipe[s]: Concentrated Halloween Tonic,[Рецепт|Рецепта|Рецептов]: Концентрированный эликсир на Хэллоуин
Recipe[s]: Concordance (Level 31),[Рецепт|Рецепта|Рецептов]: Созвучие (Уровень 31)
Recipe[s]: Concordance (Level 55),[Рецепт|Рецепта|Рецептов]: Созвучие (Уровень 55)
Recipe[s]: Confetti Pouch,[Рецепт|Рецепта|Рецептов]: Мешочек конфетти
Recipe[s]: Conjured Amalgamate's Token,[Рецепт|Рецепта|Рецептов]: Токен Призванного Амальгамата
Recipe[s]: Consecrated Saryx Axe,[Рецепт|Рецепта|Рецептов]: Освященный топор Сарикса
Recipe[s]: Consecrated Saryx Dagger,Рецепт[|а|ов]: Кинжала «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Focus,Рецепт[|а|ов]: Фокуса «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Greatsword,Рецепт[|а|ов]: Большого меча «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Hammer,Рецепт[|а|ов]: Молота «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Longbow,Рецепт[|а|ов]: Длинного лука «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Mace,Рецепт[|а|ов]: Булавы «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Pistol,Рецепт[|а|ов]: Пистолета «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Rifle,Рецепт[|а|ов]: Ружья «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Scepter,Рецепт[|а|ов]: Скипетра «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Shield,Рецепт[|а|ов]: Щита «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Short Bow,Рецепт[|а|ов]: Короткого лука «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Staff,Рецепт[|а|ов]: Посоха «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Sword,Рецепт[|а|ов]: Меча «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Torch,Рецепт[|а|ов]: Факела «Освящённый Сарикс»
Recipe[s]: Consecrated Saryx Warhorn,Рецепт[|а|ов]: Рога «Освящённый Сарикс»
Recipe[s]: Copper Mace,Рецепт[|а|ов]: Медная булава
Recipe[s]: Copper Sword,Рецепт[|а|ов]: Медный меч
Recipe[s]: Corrupted Artifact,Рецепт[|а|ов]: Искаженный артефакт
Recipe[s]: Corrupted Avenger,Рецепт[|а|ов]: Искаженный мститель
Recipe[s]: Corrupted Blade,Рецепт[|а|ов]: Искаженный клинок
Recipe[s]: Corrupted Blaster,Рецепт[|а|ов]: Искаженный бластер
Recipe[s]: Corrupted Branch,Рецепт[|а|ов]: Искаженная ветвь
Recipe[s]: Corrupted Bulwark,Рецепт[|а|ов]: Искаженный оплот
Recipe[s]: Corrupted Cudgel,Рецепт[|а|ов]: Искаженная дубина
Recipe[s]: Corrupted Greatbow,Рецепт[|а|ов]: Искаженный великий лук
Recipe[s]: Corrupted Harbinger,Рецепт[|а|ов]: Искаженный вестник
Recipe[s]: Corrupted Harpoon Gun,Рецепт[|а|ов]: Искаженное гарпунное ружье
Recipe[s]: Corrupted Jar,Рецепт[|а|ов]: Искаженная банка
Recipe[s]: Corrupted Revolver,Рецепт[|а|ов]: Искаженный револьвер
Recipe[s]: Corrupted Scepter,Рецепт[|а|ов]: Искаженный скипетр
Recipe[s]: Corrupted Shard,Рецепт[|а|ов]: Порченый осколок
Recipe[s]: Corrupted Short Bow,Рецепт[|а|ов]: Порченый короткий лук
Recipe[s]: Corrupted Skeggox,Рецепт[|а|ов]: Порченый скеггокс
Recipe[s]: Corrupted Sledgehammer,Рецепт[|а|ов]: Порченая кувалда
Recipe[s]: Corrupted Spear,Рецепт[|а|ов]: Порченое копьё
Recipe[s]: Corrupted Trident,Рецепт[|а|ов]: Порченый трезубец
Recipe[s]: Corrupted Wartorch,Рецепт[|а|ов]: Порченый боевой факел
Recipe[s]: Corsair Maintenance Oil,Рецепт[|а|ов]: Корсарское масло для ухода
Recipe[s]: Corsair Sharpening Stone,Рецепт[|а|ов]: Корсарский точильный камень
Recipe[s]: Corsair Tuning Crystal,Рецепт[|а|ов]: Корсарский кристалл настройки
Recipe[s]: Counterweighting Mechanism,Рецепт[|а|ов]: Уравновешивающий механизм
Recipe[s]: Crimson Dragon Slayer Axe,Рецепт[|а|ов]: Багровый топор драконоборца
Recipe[s]: Crimson Dragon Slayer Dagger,Рецепт[|а|ов]: Багровый кинжал драконоборца
Recipe[s]: Crimson Dragon Slayer Focus,Рецепт[|а|ов]: Багровый фокус драконоборца
Recipe[s]: Crimson Dragon Slayer Greatsword,Рецепт[|а|ов]: Багровый большой меч драконоборца
Recipe[s]: Crimson Dragon Slayer Hammer,[Рецепт|Рецепта|Рецептов]: Молот «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Longbow,[Рецепт|Рецепта|Рецептов]: Длинный лук «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Mace,[Рецепт|Рецепта|Рецептов]: Булава «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Pistol,[Рецепт|Рецепта|Рецептов]: Пистолет «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Rifle,[Рецепт|Рецепта|Рецептов]: Винтовка «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Scepter,[Рецепт|Рецепта|Рецептов]: Скипетр «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Shield,[Рецепт|Рецепта|Рецептов]: Щит «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Short Bow,[Рецепт|Рецепта|Рецептов]: Короткий лук «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Staff,[Рецепт|Рецепта|Рецептов]: Посох «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Sword,[Рецепт|Рецепта|Рецептов]: Меч «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Torch,[Рецепт|Рецепта|Рецептов]: Факел «Алый драконоборец»
Recipe[s]: Crimson Dragon Slayer Warhorn,[Рецепт|Рецепта|Рецептов]: Рог «Алый драконоборец»
Recipe[s]: Crusader Intricate Gossamer Insignia,[Рецепт|Рецепта|Рецептов]: Замысловатая газовая нашивка крестоносца
Recipe[s]: Crusader Orichalcum Imbued Inscription,[Рецепт|Рецепта|Рецептов]: Пропитанная орихалковая надпись крестоносца
Recipe[s]: Crusader's Shield,[Рецепт|Рецепта|Рецептов]: Щит крестоносца
Recipe[s]: Cry (Level 31),Рецепт[|а|ов]: Плач (Уровень 31)
Recipe[s]: Cry (Level 55),Рецепт[|а|ов]: Плач (Уровень 55)
Recipe[s]: Cryptopidae,[Рецепт|Рецепта|Рецептов]: Криптопиды
Recipe[s]: Crystal Jar,Рецепт[|а|ов]: Кристальная банка
Recipe[s]: Crystal Prism,Рецепт[|а|ов]: Кристальная призма
Recipe[s]: Crystal Scroll,Рецепт[|а|ов]: Кристальный свиток
Recipe[s]: Crystallized Nougat,Рецепт[|а|ов]: Кристаллизованная нуга
Recipe[s]: Culicidae,[Рецепт|Рецепта|Рецептов]: Кулициды
Recipe[s]: Cumulus Habit (Level 55),Рецепт[|а|ов]: Кучевое одеяние (Уровень 55)
Recipe[s]: Cup of Light-Roasted Coffee,Рецепт[|а|ов]: Чашка кофе светлой обжарки
Recipe[s]: Darkvine Cloth Gloves,Рецепт[|а|ов]: Перчатки из темной лозы
Recipe[s]: Darkvine Gauntlets,Рецепт[|а|ов]: Рукавицы из темной лозы
Recipe[s]: Darkvine Leather Gloves,Рецепт[|а|ов]: Кожаные перчатки из темной лозы
Recipe[s]: Dashing Tricorner (Level 71),Рецепт[|а|ов]: Лихая треуголка (Уровень 71)
Recipe[s]: Dawn Chorus (Level 71),Рецепт[|а|ов]: Утренний хор (Уровень 71)
Recipe[s]: Decima Shard,[Рецепт|Рецепта|Рецептов]: Осколок Десимы
Recipe[s]: Decima's Token,[Рецепт|Рецепта|Рецептов]: Токен Десимы
Recipe[s]: Deerchaser (Level 20),Рецепт[|а|ов]: Оленьи тропы (20 уровень)
Recipe[s]: Degun Stew,[Рецепт|Рецепта|Рецептов]: Рагу Дегуна
Recipe[s]: Deimos Statue,[Рецепт|Рецепта|Рецептов]: Статуя Деймоса
Recipe[s]: Deldrimor Ring Replica,[Рецепт|Рецепта|Рецептов]: Реплика Кольца Делдримора
Recipe[s]: Demon-Slaying Station,[Рецепт|Рецепта|Рецептов]: Станция уничтожения демонов
Recipe[s]: Dendritic Avenger (Level 71),Рецепт[|а|ов]: Дендритический Мститель (71 уровень)
Recipe[s]: Desert Sofa,[Рецепт|Рецепта|Рецептов]: Пустынный диван
Recipe[s]: Desmina's Token,[Рецепт|Рецепта|Рецептов]: Токен Десмены
Recipe[s]: Dessicated Pauldrons (Level 20),Рецепт[|а|ов]: высушенные наплечники (20-го уровня)
Recipe[s]: Dessicated Pauldrons (Level 31),Рецепт[|а|ов]: высушенные наплечники (31 уровень)
Recipe[s]: Destroyer Jar,[Рецепт|Рецепта|Рецептов]: Банка Разрушителя
Recipe[s]: Dhuum's Token,[Рецепт|Рецепта|Рецептов]: Токен Дхуума
Recipe[s]: Dhuum's Torch,[Рецепт|Рецепта|Рецептов]: Факел Дхуума
Recipe[s]: Dignity (Level 31),[Рецепт|Рецепта|Рецептов]: Достоинство (31 уровень)
Recipe[s]: Dignity (Level 55),[Рецепт|Рецепта|Рецептов]: Достоинство (55 уровень)
Recipe[s]: Diptera,[Рецепт|Рецепта|Рецептов]: Двукрылые
Recipe[s]: Discretion (Level 31),[Рецепт|Рецепта|Рецептов]: Сдержанность (31 уровень)
Recipe[s]: Discretion (Level 55),[Рецепт|Рецепта|Рецептов]: Сдержанность (55 уровень)
Recipe[s]: Disputation (Level 31),[Рецепт|Рецепта|Рецептов]: Диспут (31 уровень)
Recipe[s]: Disputation (Level 55),[Рецепт|Рецепта|Рецептов]: Диспут (55 уровень)
Recipe[s]: Diviner's Artifact,[Рецепт|Рецепта|Рецептов]: Артефакт прорицателя
Recipe[s]: Diviner's Bastion,[Рецепт|Рецепта|Рецептов]: Оплот прорицателя
Recipe[s]: Diviner's Blade,[Рецепт|Рецепта|Рецептов]: Клинок прорицателя
Recipe[s]: Diviner's Brazier,[Рецепт|Рецепта|Рецептов]: Жаровня прорицателя
Recipe[s]: Diviner's Breastplate,[Рецепт|Рецепта|Рецептов]: Нагрудник прорицателя
Recipe[s]: Diviner's Breeches,[Рецепт|Рецепта|Рецептов]: Штаны прорицателя
Recipe[s]: Diviner's Claymore,[Рецепт|Рецепта|Рецептов]: Клеймор прорицателя
Recipe[s]: Diviner's Doublet,[Рецепт|Рецепта|Рецептов]: Дуэлет прорицателя
Recipe[s]: Diviner's Epaulets,Рецепт[|а|ов]: Наплечники Прорицателя
Recipe[s]: Diviner's Flanged Mace,Рецепт[|а|ов]: Фланцевая булава Прорицателя
Recipe[s]: Diviner's Footwear,Рецепт[|а|ов]: Ботинки Прорицателя
Recipe[s]: Diviner's Greatbow,Рецепт[|а|ов]: Большой лук Прорицателя
Recipe[s]: Diviner's Greaves,Рецепт[|а|ов]: Наголенники Прорицателя
Recipe[s]: Diviner's Grips,Рецепт[|а|ов]: Перчатки Прорицателя
Recipe[s]: Diviner's Guise,Рецепт[|а|ов]: Мантия Прорицателя
Recipe[s]: Diviner's Harpoon Gun,Рецепт[|а|ов]: Арбалет-гарпун Прорицателя
Recipe[s]: Diviner's Herald,Рецепт[|а|ов]: Горн Прорицателя
Recipe[s]: Diviner's Impaler,Рецепт[|а|ов]: Копьё Прорицателя
Recipe[s]: Diviner's Intricate Gossamer Insignia,Рецепт[|а|ов]: Сложная нашивка из паутины Прорицателя
Recipe[s]: Diviner's Leggings,Рецепт[|а|ов]: Поножи Прорицателя
Recipe[s]: Diviner's Masque,Рецепт[|а|ов]: Маска Прорицателя
Recipe[s]: Diviner's Musket,Рецепт[|а|ов]: Мушкет Прорицателя
Recipe[s]: Diviner's Orichalcum-Imbued Inscription,"[Рецепт|Рецепта|Рецептов]: Рунический свиток, пропитанный орихалкомом"
Recipe[s]: Diviner's Pauldrons,Рецепт[|а|ов]: наплечников Прорицателя
Recipe[s]: Diviner's Razor,Рецепт[|а|ов]: бритвы Прорицателя
Recipe[s]: Diviner's Reaver,Рецепт[|а|ов]: секиры Прорицателя
Recipe[s]: Diviner's Revolver,Рецепт[|а|ов]: револьвера Прорицателя
Recipe[s]: Diviner's Short Bow,Рецепт[|а|ов]: короткого лука Прорицателя
Recipe[s]: Diviner's Shoulderguard,Рецепт[|а|ов]: наплечника Прорицателя
Recipe[s]: Diviner's Spire,Рецепт[|а|ов]: шпиля Прорицателя
Recipe[s]: Diviner's Striders,Рецепт[|а|ов]: поножей Прорицателя
Recipe[s]: Diviner's Tassets,Рецепт[|а|ов]: набедренников Прорицателя
Recipe[s]: Diviner's Trident,Рецепт[|а|ов]: трезубца Прорицателя
Recipe[s]: Diviner's Visage,Рецепт[|а|ов]: личины Прорицателя
Recipe[s]: Diviner's Visor,Рецепт[|а|ов]: забрала Прорицателя
Recipe[s]: Diviner's Wand,Рецепт[|а|ов]: жезла Прорицателя
Recipe[s]: Diviner's Warfists,Рецепт[|а|ов]: боевых перчаток Прорицателя
Recipe[s]: Diviner's Warhammer,Рецепт[|а|ов]: боевого молота Прорицателя
Recipe[s]: Diviner's Wristguards,[Рецепт|Рецепта|Рецептов]: Наручи прорицателя
Recipe[s]: Doctrina,[Рецепт|Рецепта|Рецептов]: Доктрина
Recipe[s]: Dollop of Choya Harissa,[Рецепт|Рецепта|Рецептов]: Шарик чойской хариссы
Recipe[s]: Dolyak Stew,[Рецепт|Рецепта|Рецептов]: Похлёбка из дольяка
Recipe[s]: Dragon Hatchling Doll Adornments,[Рецепт|Рецепта|Рецептов]: Украшения для куклы дракончика
Recipe[s]: Dragon Hatchling Doll Eyes,[Рецепт|Рецепта|Рецептов]: Глаза для куклы дракончика
Recipe[s]: Dragon Hatchling Doll Frame,[Рецепт|Рецепта|Рецептов]: Каркас куклы дракончика
Recipe[s]: Dragon Hatchling Doll Hide,[Рецепт|Рецепта|Рецептов]: Шкурка куклы дракончика
Recipe[s]: Dragon Slayer Axe,[Рецепт|Рецепта|Рецептов]: Топор драконоборца
Recipe[s]: Dragon Slayer Dagger,[Рецепт|Рецепта|Рецептов]: Кинжал драконоборца
Recipe[s]: Dragon Slayer Focus,[Рецепт|Рецепта|Рецептов]: Фокус драконоборца
Recipe[s]: Dragon Slayer Greatsword,[Рецепт|Рецепта|Рецептов]: Большой меч драконоборца
Recipe[s]: Dragon Slayer Hammer,[Рецепт|Рецепта|Рецептов]: Молот драконоборца
Recipe[s]: Dragon Slayer Longbow,[Рецепт|Рецепта|Рецептов]: Длинный лук драконоборца
Recipe[s]: Dragon Slayer Mace,[Рецепт|Рецепта|Рецептов]: Булава драконоборца
Recipe[s]: Dragon Slayer Pistol,Рецепт[|а|ов]: Пистолет Убийцы Драконов
Recipe[s]: Dragon Slayer Rifle,Рецепт[|а|ов]: Винтовка Убийцы Драконов
Recipe[s]: Dragon Slayer Scepter,Рецепт[|а|ов]: Скипетр Убийцы Драконов
Recipe[s]: Dragon Slayer Shield,Рецепт[|а|ов]: Щит Убийцы Драконов
Recipe[s]: Dragon Slayer Short Bow,Рецепт[|а|ов]: Короткий Лук Убийцы Драконов
Recipe[s]: Dragon Slayer Staff,Рецепт[|а|ов]: Посох Убийцы Драконов
Recipe[s]: Dragon Slayer Sword,Рецепт[|а|ов]: Меч Убийцы Драконов
Recipe[s]: Dragon Slayer Torch,Рецепт[|а|ов]: Факел Убийцы Драконов
Recipe[s]: Dragon Slayer Warhorn,Рецепт[|а|ов]: Рог Убийцы Драконов
Recipe[s]: Dragon's Intricate Gossamer Insignia,Рецепт[|а|ов]: сложный драконий знак из тончайшей паутины
Recipe[s]: Dragon's Orichalcum Imbued Inscription,"[Рецепт|Рецепта|Рецептов]: Орхалковое начертание, пропитанное силой дракона"
Recipe[s]: Dragon's Revelry Starcake,Рецепт[|а|ов]: Звездный Пирог Драконьего Веселья
Recipe[s]: Dragonsblood Axe,Рецепт[|а|ов]: Топор Драконьей Крови
Recipe[s]: Dragonsblood Dagger,Рецепт[|а|ов]: Кинжал Драконьей Крови
Recipe[s]: Dragonsblood Focus,Рецепт[|а|ов]: Фокус Драконьей Крови
Recipe[s]: Dragonsblood Greatsword,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: большой меч
Recipe[s]: Dragonsblood Hammer,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: молот
Recipe[s]: Dragonsblood Longbow,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: длинный лук
Recipe[s]: Dragonsblood Mace,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: булава
Recipe[s]: Dragonsblood Pistol,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: пистолет
Recipe[s]: Dragonsblood Rifle,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: винтовка
Recipe[s]: Dragonsblood Scepter,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: скипетр
Recipe[s]: Dragonsblood Shield,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: щит
Recipe[s]: Dragonsblood Short Bow,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: короткий лук
Recipe[s]: Dragonsblood Staff,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: посох
Recipe[s]: Dragonsblood Sword,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: меч
Recipe[s]: Dragonsblood Torch,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: факел
Recipe[s]: Dragonsblood Warhorn,[Рецепт|Рецепта|Рецептов] «Драконья кровь»: боевой рог
Recipe[s]: Drottot's Poached Eggs,"[Рецепт|Рецепта|Рецептов]: Яйца, припущенные Дроттотом"
Recipe[s]: Dual Peaks (Level 55),Рецепт[|а|ов]: Двойная вершина (уровень 55)
Recipe[s]: Dun Targe (Level 20),"Рецепт[|а|ов]: щит ""Дун"" (20-го уровня)"
Recipe[s]: Duty-Bound Bracers (Level 13),[Рецепт|Рецепта|Рецептов]: «Наручи долга» (13-й уровень)
Recipe[s]: Duty-Bound Bracers (Level 8),[Рецепт|Рецепта|Рецептов]: «Наручи долга» (8-й уровень)
Recipe[s]: Duty-Bound Brigandine (Level 13),[Рецепт|Рецепта|Рецептов]: «Бригантина долга» (13-й уровень)
Recipe[s]: Duty-Bound Brigandine (Level 8),[Рецепт|Рецепта|Рецептов]: «Бригантина долга» (8-й уровень)
Recipe[s]: Duty-Bound Domeplate (Level 13),[Рецепт|Рецепта|Рецептов]: «Наголовник долга» (13-й уровень)
Recipe[s]: Duty-Bound Domeplate (Level 8),[Рецепт|Рецепта|Рецептов]: «Наголовник долга» (8-й уровень)
Recipe[s]: Duty-Bound Duffers (Level 13),[Рецепт|Рецепта|Рецептов]: «Поножи долга» (13-й уровень)
Recipe[s]: Duty-Bound Duffers (Level 8),[Рецепт|Рецепта|Рецептов]: «Поножи долга» (8-й уровень)
Recipe[s]: Duty-Bound Platepads (Level 13),[Рецепт|Рецепта|Рецептов]: «Наплечники долга» (13-й уровень)
Recipe[s]: Duty-Bound Platepads (Level 8),[Рецепт|Рецепта|Рецептов]: «Наплечники долга» (8-й уровень)
Recipe[s]: Duty-Bound Thigh Guards (Level 13),[Рецепт|Рецепта|Рецептов]: «Набедренники долга» (13-й уровень)
Recipe[s]: Duty-Bound Thigh Guards (Level 8),[Рецепт|Рецепта|Рецептов]: «Набедренники долга» (8-й уровень)
Recipe[s]: Eagle's Perch (Level 20),[Рецепт|Рецепта|Рецептов]: «Орлиный насест» (20-й уровень)
Recipe[s]: Earth Elemental Left Hand,[Рецепт|Рецепта|Рецептов]: «Левая рука земляного элементаля»
Recipe[s]: Earth Elemental Right Hand,Рецепт[|а|ов]: Правая рука элементаля земли
Recipe[s]: Ebonmane's Apothecary Inscription,Рецепт[|а|ов]: Аптекарская надпись Эбонмейна
Recipe[s]: Ebonmane's Artifact,Рецепт[|а|ов]: Артефакт Эбонмейна
