english,translate
Recipe[s]: Stormforged Scepter,[Рецепт|Рецепта|Рецептов]: Скипетр Бурекованного
Recipe[s]: Stormforged Shield,[Рецепт|Рецепта|Рецептов]: Щит Бурекованного
Recipe[s]: Stormforged Short Bow,[Рецепт|Рецепта|Рецептов]: Короткий лук Бурекованного
Recipe[s]: Stormforged Staff,[Рецепт|Рецепта|Рецептов]: Посох Бурекованного
Recipe[s]: Stormforged Sword,[Рецепт|Рецепта|Рецептов]: Меч Бурекованного
Recipe[s]: Stormforged Torch,[Рецепт|Рецепта|Рецептов]: Факел Бурекованного
Recipe[s]: Stormforged Warhorn,[Рецепт|Рецепта|Рецептов]: Боевой рог Бурекованного
Recipe[s]: Strawberry Ghost,[Рецепт|Рецепты|Рецептов]: клубничный призрак
Recipe[s]: Strong Intricate Cotton Insignia,[Рецепт|Рецепты|Рецептов]: прочный искусный хлопковый знак отличия
Recipe[s]: Strong Intricate Wool Insignia,[Рецепт|Рецепты|Рецептов]: прочный искусный шерстяной знак отличия
Recipe[s]: Strong Iron Imbued Inscription,[Рецепт|Рецепты|Рецептов]: прочная пропитанная железная надпись
Recipe[s]: Strong Steel Imbued Inscription,[Рецепт|Рецепты|Рецептов]: прочная пропитанная стальная надпись
Recipe[s]: Stuffed Nopales,[Рецепт|Рецепты|Рецептов]: фаршированные нопалес
Recipe[s]: Sturdy Boreal Duffel,[Рецепт|Рецепты|Рецептов]: прочный бореальный вещмешок
Recipe[s]: Subtle Spyglass,[Рецепт|Рецепты|Рецептов]: незаметная подзорная труба
Recipe[s]: Sun Aspect Crystal,[Рецепт|Рецепты|Рецептов]: кристалл аспекта солнца
Recipe[s]: Sunset Amulet,[Рецепт|Рецепты|Рецептов]: амулет заката
Recipe[s]: Sunset Earring,[Рецепт|Рецепты|Рецептов]: серьга заката
Recipe[s]: Sunset Jewel,[Рецепт|Рецепты|Рецептов]: самоцвет заката
Recipe[s]: Sunset Ring,[Рецепт|Рецепты|Рецептов]: Кольцо заката
Recipe[s]: Sunspear Carver,[Рецепт|Рецепты|Рецептов]: тесак Солнечного копья
Recipe[s]: Sunspear Cutlass,[Рецепт|Рецепты|Рецептов]: абордажная сабля Солнечного копья
Recipe[s]: Sunspear Firelight,[Рецепт|Рецепта|Рецептов]: Огненный свет Солнечного копья
Recipe[s]: Sunspear Greatblade,[Рецепт|Рецепта|Рецептов]: Великий клинок Солнечного копья
Recipe[s]: Sunspear Horn,[Рецепт|Рецепта|Рецептов]: Рог Солнечного копья
Recipe[s]: Sunspear Matchlock,[Рецепт|Рецепта|Рецептов]: фитильный замок Солнечного копья
Recipe[s]: Sunspear Pocketbow,[Рецепт|Рецепта|Рецептов]: Карманный лук Солнечного копья
Recipe[s]: Sunspear Recurve,[Рецепт|Рецепта|Рецептов]: изогнутый лук Солнечного копья
Recipe[s]: Sunspear Rod,[Рецепт|Рецепта|Рецептов]: жезл Солнечного копья
Recipe[s]: Sunspear Runestone,[Рецепт|Рецепта|Рецептов]: рунический камень Солнечного копья
Recipe[s]: Sunspear Sidearm,[Рецепт|Рецепта|Рецептов]: боковое оружие Солнечного копья
Recipe[s]: Sunspear Smasher,[Рецепт|Рецепта|Рецептов]: Крушитель Солнечного копья
Recipe[s]: Sunspear Standard,[Рецепт|Рецепта|Рецептов]: штандарт Солнечного копья
Recipe[s]: Sunspear Thrasher,[Рецепт|Рецепта|Рецептов]: Молотильщик Солнечного копья
Recipe[s]: Sunspear Wallshield,[Рецепт|Рецепта|Рецептов]: стенной щит Солнечного копья
Recipe[s]: Sunspear Warsickle,[Рецепт|Рецепта|Рецептов]: Боевой серп Солнечного копья
Recipe[s]: Super Bridge Plank,[Рецепт|Рецепта|Рецептов]: Супер мостовая доска
Recipe[s]: Super Mixed Parfait,[Рецепт|Рецепта|Рецептов]: Супер смешанное парфе
Recipe[s]: Super Rapids Flowing Water,[Рецепт|Рецепта|Рецептов]: Супер быстрые потоки воды
Recipe[s]: Super Rapids Pillar,[Рецепт|Рецепта|Рецептов]: Супер быстрый столб порогов
Recipe[s]: Super Rapids Plateau,[Рецепт|Рецепта|Рецептов]: Супер быстрое плато порогов
Recipe[s]: Super Sharpening Polygon,[Рецепт|Рецепта|Рецептов]: Супер точильный полигон
Recipe[s]: Superior Rune of Antitoxin,[Рецепт|Рецепта|Рецептов]: высшая руна антитоксина
Recipe[s]: Superior Rune of Evasion,[Рецепт: высшая руна уклонения|Рецепты: высшие руны уклонения|Рецептов: высших рун уклонения]
Recipe[s]: Superior Rune of Exuberance,[Рецепт|Рецепта|Рецептов]: высшая руна изобилия
Recipe[s]: Superior Rune of Nature's Bounty,[Рецепт|Рецепта|Рецептов]: высшая руна щедрости природы
Recipe[s]: Superior Rune of Perplexity,[Рецепт|Рецепта|Рецептов]: высшая руна недоумения
Recipe[s]: Superior Rune of Radiance,[Рецепт: высшая руна сияния|Рецепты: высшие руны сияния|Рецептов: высших рун сияния]
Recipe[s]: Superior Rune of Resistance,[Рецепт|Рецепта|Рецептов]: высшая руна сопротивления
Recipe[s]: Superior Rune of the Berserker,[Рецепт|Рецепта|Рецептов]: высшая руна берсерка
Recipe[s]: Superior Rune of the Chronomancer,[Рецепт|Рецепта|Рецептов]: высшая руна хрономанта
Recipe[s]: Superior Rune of the Daredevil,[Рецепт|Рецепта|Рецептов]: высшая руна смельчака
Recipe[s]: Superior Rune of the Deadeye,[Рецепт|Рецепта|Рецептов]: высшая руна меткого стрелка
Recipe[s]: Superior Rune of the Defender,[Рецепт|Рецепта|Рецептов]: высшая руна защитника
Recipe[s]: Superior Rune of the Dragonhunter,[Рецепт|Рецепта|Рецептов]: высшая руна драконоохотника
Recipe[s]: Superior Rune of the Druid,[Рецепт|Рецепта|Рецептов]: высшая руна друида
Recipe[s]: Superior Rune of the Firebrand,[Рецепт|Рецепта|Рецептов]: высшая руна поджигателя
Recipe[s]: Superior Rune of the Herald,[Рецепт|Рецепта|Рецептов]: высшая руна вестника
Recipe[s]: Superior Rune of the Holosmith,[Рецепт|Рецепта|Рецептов]: высшая руна голосмита
Recipe[s]: Superior Rune of the Mad King,[Рецепт|Рецепта|Рецептов]: высшая руна безумного короля
Recipe[s]: Superior Rune of the Mirage,[Рецепт|Рецепта|Рецептов]: высшая руна миража
Recipe[s]: Superior Rune of the Reaper,[Рецепт|Рецепта|Рецептов]: высшая руна жнеца
Recipe[s]: Superior Rune of the Renegade,[Рецепт|Рецепта|Рецептов]: высшая руна ренегата
Recipe[s]: Superior Rune of the Scourge,[Рецепт|Рецепта|Рецептов]: высшая руна бича
Recipe[s]: Superior Rune of the Scrapper,[Рецепт|Рецепта|Рецептов]: высшая руна скраппера
Recipe[s]: Superior Rune of the Soulbeast,[Рецепт|Рецепта|Рецептов]: высшая руна душезверя
Recipe[s]: Superior Rune of the Spellbreaker,[Рецепт|Рецепта|Рецептов]: высшая руна разрушителя чар
Recipe[s]: Superior Rune of the Stars,[Рецепт|Рецепта|Рецептов]: высшая руна звёзд
Recipe[s]: Superior Rune of the Tempest,[Рецепт|Рецепта|Рецептов]: высшая руна Бури
Recipe[s]: Superior Rune of the Trapper,[Рецепт: высшая руна ловца|Рецепты: высшие руны ловца|Рецептов: высших рун ловца]
Recipe[s]: Superior Rune of the Weaver,[Рецепт|Рецепта|Рецептов]: высшая руна Ткача
Recipe[s]: Superior Rune of Tormenting,[Рецепт|Рецепта|Рецептов]: высшая руна мучения
Recipe[s]: Superior Sigil of Blight,[Рецепт|Рецепта|Рецептов]: высший символ Проклятия
Recipe[s]: Superior Sigil of Bounty,[Рецепт|Рецепта|Рецептов]: высший символ Изобилия
Recipe[s]: Superior Sigil of Bursting,[Рецепт|Рецепта|Рецептов]: высший символ Взрыва
Recipe[s]: Superior Sigil of Cleansing,[Рецепт: высший символ очищения|Рецепты: высшие символы очищения|Рецептов: высших символов очищения]
Recipe[s]: Superior Sigil of Cruelty,[Рецепт: высший символ жестокости|Рецепты: высшие символы жестокости|Рецептов: высших символов жестокости]
Recipe[s]: Superior Sigil of Incapacitation,[Рецепт: высший символ обездвиживания|Рецепты: высшие символы обездвиживания|Рецептов: высших символов обездвиживания]
Recipe[s]: Superior Sigil of Malice,[Рецепт|Рецепта|Рецептов]: высший символ Злобы
Recipe[s]: Superior Sigil of Momentum,[Рецепт|Рецепта|Рецептов]: высший символ Импульса
Recipe[s]: Superior Sigil of Renewal,[Рецепт|Рецепта|Рецептов]: высший символ Обновления
Recipe[s]: Superior Sigil of the Night,[Рецепт|Рецепта|Рецептов]: высший символ Ночи
Recipe[s]: Superior Sigil of the Stars,[Рецепт|Рецепта|Рецептов]: высший символ Звёзд
Recipe[s]: Superior Sigil of Torment,[Рецепт|Рецепта|Рецептов]: высший символ Мучения
Recipe[s]: Supplejack (Level 13),[Рецепт|Рецепта|Рецептов]: гибкий Джек (Уровень 13)
Recipe[s]: Supplejack (Level 8),[Рецепт|Рецепта|Рецептов]: гибкий Джек (Уровень 8)
Recipe[s]: Suun's Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Сууна
Recipe[s]: Suun's Bastion,[Рецепт|Рецепта|Рецептов]: Бастион Сууна
Recipe[s]: Suun's Blade,[Рецепт|Рецепта|Рецептов]: Клинок Сууна
Recipe[s]: Suun's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Сууна
Recipe[s]: Suun's Breastplate,[Рецепт|Рецепта|Рецептов]: Нагрудник Сууна
Recipe[s]: Suun's Breeches,[Рецепт|Рецепта|Рецептов]: Штаны Сууна
Recipe[s]: Suun's Claymore,[Рецепт|Рецепта|Рецептов]: глефа Суна
Recipe[s]: Suun's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Сууна
Recipe[s]: Suun's Epaulets,[Рецепт|Рецепта|Рецептов]: нарамники Сууна
Recipe[s]: Suun's Flanged Mace,[Рецепт|Рецепта|Рецептов]: Боевой молот Сууна с зубчатой головкой
Recipe[s]: Suun's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Сууна
Recipe[s]: Suun's Greatbow,[Рецепт|Рецепта|Рецептов]: Великий лук Сууна
Recipe[s]: Suun's Greaves,[Рецепт|Рецепта|Рецептов]: наголенники Сууна
Recipe[s]: Suun's Grips,[Рецепт|Рецепта|Рецептов]: перчатки Сууна
Recipe[s]: Suun's Guise,[Рецепт|Рецепта|Рецептов]: маскарад Сууна
Recipe[s]: Suun's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Сууна
Recipe[s]: Suun's Herald,[Рецепт|Рецепта|Рецептов]: Вестник Сууна
Recipe[s]: Suun's Impaler,[Рецепт|Рецепта|Рецептов]: пронзатель Сууна
Recipe[s]: Suun's Inscription,[Рецепт|Рецепта|Рецептов]: надпись Сууна
Recipe[s]: Suun's Insignia,[Рецепт|Рецепта|Рецептов]: нашивка Сууна
Recipe[s]: Suun's Leggings,[Рецепт|Рецепта|Рецептов]: поножи Сууна
Recipe[s]: Suun's Masque,[Рецепт|Рецепта|Рецептов]: маска Сууна
Recipe[s]: Suun's Musket,[Рецепт|Рецепта|Рецептов]: мушкет Сууна
Recipe[s]: Suun's Pauldrons,[Рецепт|Рецепта|Рецептов]: Наплечники Сууна
Recipe[s]: Suun's Razor,[Рецепт|Рецепта|Рецептов]: бритва Сууна
Recipe[s]: Suun's Reaver,[Рецепт|Рецепта|Рецептов]: Разоритель Сууна
Recipe[s]: Suun's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Сууна
Recipe[s]: Suun's Short Bow,[Рецепт|Рецепта|Рецептов]: Короткий лук Сууна
Recipe[s]: Suun's Shoulderguard,[Рецепт|Рецепта|Рецептов]: наплечник Сууна
Recipe[s]: Suun's Spire,[Рецепт|Рецепта|Рецептов]: Шпиль Сууна
Recipe[s]: Suun's Striders,[Рецепт|Рецепта|Рецептов]: странники Сууна
Recipe[s]: Suun's Tassets,[Рецепт|Рецепта|Рецептов]: набедренники Сууна
Recipe[s]: Suun's Trident,[Рецепт|Рецепта|Рецептов]: трезубец Сууна
Recipe[s]: Suun's Visage,[Рецепт|Рецепта|Рецептов]: лик Сууна
Recipe[s]: Suun's Visor,[Рецепт|Рецепта|Рецептов]: забрало Сууна
Recipe[s]: Suun's Wand,[Рецепт|Рецепта|Рецептов]: жезл Сууна
Recipe[s]: Suun's Warfists,[Рецепт|Рецепта|Рецептов]: Боевые рукавицы Сууна
Recipe[s]: Suun's Warhammer,[Рецепт|Рецепта|Рецептов]: Боевой молот Сууна
Recipe[s]: Suun's Wristguards,[Рецепт|Рецепта|Рецептов]: наручи Сууна
Recipe[s]: Svaard's Artifact,[Рецепт|Рецепта|Рецептов]: артефакт Сварда
Recipe[s]: Svaard's Bastion,[Рецепт|Рецепта|Рецептов]: Оплот Сварда
Recipe[s]: Svaard's Blade,[Рецепт|Рецепта|Рецептов]: Клинок Сварда
Recipe[s]: Svaard's Brazier,[Рецепт|Рецепта|Рецептов]: жаровня Сварда
Recipe[s]: Svaard's Breastplate,[Рецепт|Рецепта|Рецептов]: Нагрудник Сварда
Recipe[s]: Svaard's Breeches,[Рецепт|Рецепта|Рецептов]: Штаны Сварда
Recipe[s]: Svaard's Claymore,[Рецепт|Рецепта|Рецептов]: клеймор Сварда
Recipe[s]: Svaard's Doublet,[Рецепт|Рецепта|Рецептов]: дуэль Сварда
Recipe[s]: Svaard's Epaulets,[Рецепт|Рецепта|Рецептов]: эпаулеты Сваарда
Recipe[s]: Svaard's Flanged Mace,[Рецепт|Рецепта|Рецептов]: Боевой молот Сваарда с фланцами
Recipe[s]: Svaard's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Сваарда
Recipe[s]: Svaard's Greatbow,[Рецепт|Рецепта|Рецептов]: Великий лук Сваарда
Recipe[s]: Svaard's Greaves,[Рецепт|Рецепта|Рецептов]: поножники Сварда
Recipe[s]: Svaard's Grips,[Рецепты|Рецептые|Рецептых]: грипы Сваарда
Recipe[s]: Svaard's Guise,[Рецепт|Рецепта|Рецептов]: облик Сваарда
Recipe[s]: Svaard's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунная пушка Сварда
Recipe[s]: Svaard's Herald,[Рецепты|Рецептые|Рецептых]: герб Сваарда
Recipe[s]: Svaard's Impaler,[Рецепт|Рецепта|Рецептов]: Копьё Испеллера Сварда
Recipe[s]: Svaard's Leggings,[Рецепт|Рецепта|Рецептов]: поножи Сваарда
Recipe[s]: Svaard's Marauder Inscription,[Рецепт|Рецепта|Рецептов]: начертание Сваарда «Разрушитель»
Recipe[s]: Svaard's Marauder Insignia,[Рецепт|Рецепта|Рецептов]: Знак Мародера Сварда
Recipe[s]: Svaard's Masque,[Рецепт|Рецепта|Рецептов]: маска Сваарда
Recipe[s]: Svaard's Musket,[Рецепт|Рецепта|Рецептов]: мушкет Сваарда
Recipe[s]: Svaard's Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники Сварда
Recipe[s]: Svaard's Razor,[Рецепт|Рецепта|Рецептов]: бритва Сварда
Recipe[s]: Svaard's Reaver,[Рецепт|Рецепта|Рецептов]: рейвер Сварда
Recipe[s]: Svaard's Revolver,[Рецепт|Рецепта|Рецептов]: револьвер Сварда
Recipe[s]: Svaard's Short Bow,[Рецепт|Рецепта|Рецептов]: короткий лук Сварда
Recipe[s]: Svaard's Shoulderguard,[Рецепт|Рецепта|Рецептов]: наплечник Сварда
Recipe[s]: Svaard's Spire,[Рецепт|Рецепта|Рецептов]: шпиль Сварда
Recipe[s]: Svaard's Striders,[Рецепт|Рецепта|Рецептов]: поножи Сварда
Recipe[s]: Svaard's Tassets,[Рецепт|Рецепта|Рецептов]: набедренники Сварда
Recipe[s]: Svaard's Trident,[Рецепт|Рецепта|Рецептов]: трезубец Сварда
Recipe[s]: Svaard's Visage,[Рецепт|Рецепта|Рецептов]: лик Сварда
Recipe[s]: Svaard's Visor,[Рецепт|Рецепта|Рецептов]: забрало Сварда
Recipe[s]: Svaard's Wand,[Рецепт|Рецепта|Рецептов]: жезл Сварда
Recipe[s]: Svaard's Warfists,[Рецепт|Рецепта|Рецептов]: боевые рукавицы Сварда
Recipe[s]: Svaard's Warhammer,[Рецепт|Рецепта|Рецептов]: боевой молот Сварда
Recipe[s]: Svaard's Wristguards,[Рецепт|Рецепта|Рецептов]: наручи Сварда
Recipe[s]: Sweet and Spicy Beans,[Рецепт|Рецепта|Рецептов]: сладкие и острые бобы
Recipe[s]: Sweet Curried Mussels,[Рецепт|Рецепта|Рецептов]: сладкие мидии с карри
Recipe[s]: Swelter's Gait (Level 55),[Рецепт|Рецепта|Рецептов]: поступь Знойного (55-й уровень)
Recipe[s]: Sweptweave Rifle,[Рецепт|Рецепта|Рецептов]: винтовка «Сметённое плетение»
Recipe[s]: Swiftly Scrambled Eggs,[Рецепт|Рецепта|Рецептов]: Быстро взбитые яйца
Recipe[s]: Sword,[Рецепт|Рецепта|Рецептов]: Меч
Recipe[s]: Tally Reckoner (Level 13),[Рецепт|Рецепта|Рецептов]: счётчик-учётчик (13-й уровень)
Recipe[s]: Tally Reckoner (Level 8),[Рецепт|Рецепта|Рецептов]: счётчик-учётчик (8-й уровень)
Recipe[s]: Tasty Wurm Stew,[Рецепт|Рецепта|Рецептов]: вкусное рагу из вурма
Recipe[s]: Tateos's Breastplate,[Рецепт|Рецепта|Рецептов]: Нагрудник Татеоса
Recipe[s]: Tateos's Breeches,[Рецепт|Рецепта|Рецептов]: Штаны Татеоса
Recipe[s]: Tateos's Cleric Insignia,[Рецепт|Рецепта|Рецептов]: Знак клирика Татеоса
Recipe[s]: Tateos's Cloth Breather,[Рецепт|Рецепта|Рецептов]: тканевый респиратор Татеоса
Recipe[s]: Tateos's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Татеоса
Recipe[s]: Tateos's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Тейтеоса
Recipe[s]: Tateos's Footwear,[Рецепт|Рецепта|Рецептов]: обуви Тейтеоса
Recipe[s]: Tateos's Greaves,[Рецепт|Рецепта|Рецептов]: поножей Тейтеоса
Recipe[s]: Tateos's Grips,[Рецепт|Рецепта|Рецептов]: перчаток Тейтеоса
Recipe[s]: Tateos's Guise,[Рецепт|Рецепта|Рецептов]: обличья Тейтеоса
Recipe[s]: Tateos's Leather Breather,[Рецепт|Рецепта|Рецептов]: кожаного респиратора Тейтеоса
Recipe[s]: Tateos's Leggings,[Рецепт|Рецепта|Рецептов]: штанов Тейтеоса
Recipe[s]: Tateos's Masque,[Рецепт|Рецепта|Рецептов]: маски Тейтеоса
Recipe[s]: Tateos's Metal Breather,[Рецепт|Рецепта|Рецептов]: металлического респиратора Тейтеоса
Recipe[s]: Tateos's Pauldrons,[Рецепт|Рецепта|Рецептов]: наплечники Тейтеоса
Recipe[s]: Tateos's Shoulderguard,[Рецепт|Рецепта|Рецептов]: наплечника Тейтеоса
Recipe[s]: Tateos's Striders,[Рецепт|Рецепта|Рецептов]: сапог Тейтеоса
Recipe[s]: Tateos's Tassets,[Рецепт|Рецепта|Рецептов]: набедренников Тейтеоса
Recipe[s]: Tateos's Visage,[Рецепт|Рецепта|Рецептов]: личины Тейтеоса
Recipe[s]: Tateos's Visor,[Рецепт|Рецепта|Рецептов]: забрала Тейтеоса
Recipe[s]: Tateos's Warfists,[Рецепт|Рецепта|Рецептов]: Боевые кулаки Тейтеоса
Recipe[s]: Tateos's Wristguards,[Рецепт|Рецепта|Рецептов]: наручи Тейтеоса
Recipe[s]: Teleporter Entrance,[Рецепт|Рецепта|Рецептов]: Вход телепортера
Recipe[s]: Teleporter Exit,[Рецепт|Рецепта|Рецептов]: Выход телепортера
Recipe[s]: Tendril of Terror (Level 71),[Рецепт|Рецепта|Рецептов]: щупальце ужаса (Уровень 71)
Recipe[s]: Tengu Axe,[Рецепт|Рецепта|Рецептов]: топор тенгу
Recipe[s]: Tengu Blade,[Рецепт|Рецепта|Рецептов]: Клинок тенгу
Recipe[s]: Tengu Dagger,[Рецепт|Рецепта|Рецептов]: кинжал тенгу
Recipe[s]: Tengu Focus,[Рецепт|Рецепта|Рецептов]: Фокус тенгу
Recipe[s]: Tengu Greatsword,[Рецепт|Рецепта|Рецептов]: двуручный меч тенгу
Recipe[s]: Tengu Hammer,[Рецепт|Рецепта|Рецептов]: Молот тенгу
Recipe[s]: Tengu Longbow,[Рецепт|Рецепта|Рецептов]: длинный лук тенгу
Recipe[s]: Tengu Mace,[Рецепт|Рецепта|Рецептов]: булава тенгу
Recipe[s]: Tengu Pistol,[Рецепт|Рецепта|Рецептов]: пистолет тенгу
Recipe[s]: Tengu Rifle,[Рецепт|Рецепта|Рецептов]: винтовка тенгу
Recipe[s]: Tengu Scepter,[Рецепт|Рецепта|Рецептов]: Скипетр тэнгу
Recipe[s]: Tengu Shield,[Рецепт|Рецепта|Рецептов]: Щит тэнгу
Recipe[s]: Tengu Short Bow,[Рецепт|Рецепта|Рецептов]: Короткий лук тэнгу
Recipe[s]: Tengu Staff,[Рецепт|Рецепта|Рецептов]: Посох тэнгу
Recipe[s]: Tengu Sword,[Рецепт|Рецепта|Рецептов]: Меч тэнгу
Recipe[s]: Tengu Torch,[Рецепт|Рецепта|Рецептов]: Факел тэнгу
Recipe[s]: Tengu Warhorn,[Рецепт|Рецепта|Рецептов]: Рог тэнгу
Recipe[s]: Tequatl Tailbone,[Рецепт|Рецепта|Рецептов]: хвостовая кость Текватла
Recipe[s]: Thackeray's Barbute,[Рецепт|Рецепта|Рецептов]: барбют Теккерея
Recipe[s]: Thackeray's Boots,[Рецепт|Рецепта|Рецептов]: сапоги Теккерея
Recipe[s]: Thackeray's Breastplate,[Рецепт|Рецепта|Рецептов]: Нагрудник Теккерея
Recipe[s]: Thackeray's Bugle,[Рецепт|Рецепта|Рецептов]: Горн Теккерея
Recipe[s]: Thackeray's Bulwark,[Рецепт|Рецепта|Рецептов]: Бастион Теккерея
Recipe[s]: Thackeray's Cleaver,[Рецепт|Рецепта|Рецептов]: тесак Теккерея
Recipe[s]: Thackeray's Cloth Breather,[Рецепт|Рецепта|Рецептов]: тканевый дыхатель Теккерея
Recipe[s]: Thackeray's Crescent,[Рецепт|Рецепта|Рецептов]: полумесяц Такерея
Recipe[s]: Thackeray's Crusader,[Рецепт|Рецепта|Рецептов]: Крестоносец Такерея
Recipe[s]: Thackeray's Crusher,[Рецепт|Рецепта|Рецептов]: дробитель Такерея
Recipe[s]: Thackeray's Cuirass,[Рецепт|Рецепта|Рецептов]: кираса Такерея
Recipe[s]: Thackeray's Doublet,[Рецепт|Рецепта|Рецептов]: дублет Такерея
Recipe[s]: Thackeray's Epaulets,[Рецепт|Рецепта|Рецептов]: эполеты Такерея
Recipe[s]: Thackeray's Flame,[Рецепт|Рецепта|Рецептов]: Пламя Такерея
Recipe[s]: Thackeray's Focus,[Рецепт|Рецепта|Рецептов]: Фокус Такерея
Recipe[s]: Thackeray's Footwear,[Рецепт|Рецепта|Рецептов]: обувь Такерея
Recipe[s]: Thackeray's Gauntlets,[Рецепт|Рецепта|Рецептов]: рукавицы Такерея
Recipe[s]: Thackeray's Gavel,[Рецепт|Рецепта|Рецептов]: молоток Такерея
Recipe[s]: Thackeray's Gladius,[Рецепт|Рецепта|Рецептов]: гладиус Такерея
Recipe[s]: Thackeray's Gloves,[Рецепт|Рецепта|Рецептов]: перчатки Такерея
Recipe[s]: Thackeray's Greatbow,[Рецепт|Рецепта|Рецептов]: Большой лук Такерея
Recipe[s]: Thackeray's Greaves,[Рецепт|Рецепта|Рецептов]: поножи Такерея
Recipe[s]: Thackeray's Handcannon,[Рецепт|Рецепта|Рецептов]: ручная пушка Теккерея
Recipe[s]: Thackeray's Harpoon Gun,[Рецепт|Рецепта|Рецептов]: гарпунное ружьё Теккерея
Recipe[s]: Thackeray's Leather Breather,[Рецепт|Рецепта|Рецептов]: кожаный дыхательный аппарат Теккерея
Recipe[s]: Thackeray's Leggings,[Рецепт|Рецепта|Рецептов]: поножи Теккерея
Recipe[s]: Thackeray's Masque,[Рецепт|Рецепта|Рецептов]: маска Теккерея
Recipe[s]: Thackeray's Metal Breather,[Рецепт|Рецепта|Рецептов]: металлический дыхательный аппарат Теккерея
Recipe[s]: Thackeray's Pants,[Рецепт|Рецепта|Рецептов]: Штаны Теккерея
Recipe[s]: Thackeray's Pauldrons,[Рецепт|Рецепта|Рецептов]: Наплечники Теккерея
Recipe[s]: Thackeray's Pillar,[Рецепт|Рецепта|Рецептов]: столб Теккерея
Recipe[s]: Thackeray's Rifle,[Рецепт|Рецепта|Рецептов]: винтовка Теккерея
Recipe[s]: Thackeray's Rod,[Рецепт|Рецепта|Рецептов]: жезл Теккерея
Recipe[s]: Thackeray's Seraph Inscription,[Рецепт|Рецепта|Рецептов]: руна «Серафим Тэкерэя»
Recipe[s]: Thackeray's Seraph Insignia,[Рецепт|Рецепта|Рецептов]: знамя Серафимов Тэкерэя
Recipe[s]: Thackeray's Shoulderguard,[Рецепт|Рецепта|Рецептов]: наплечник Теккерея
Recipe[s]: Thackeray's Skewer,[Рецепт|Рецепта|Рецептов]: вертел Теккерея
Recipe[s]: Thackeray's Slicer,[Рецепт|Рецепта|Рецептов]: Резак Теккерея
Recipe[s]: Thackeray's Spire,[Рецепт|Рецепта|Рецептов]: Шпиль Теккерея
Recipe[s]: Thackeray's Tassets,[Рецепт|Рецепта|Рецептов]: набедренники Теккерея
Recipe[s]: Thackeray's Vambraces,[Рецепт|Рецепта|Рецептов]: наручи Теккерея
Recipe[s]: Thackeray's Visage,[Рецепт|Рецепта|Рецептов]: лик Теккерея
