english,translate
Tahkayun's Edge Skin[s],Облик[|а|ов] «Эдж» Тахкаюна
Tahkayun's Reverse-Grip Edge Skin[s],Облик[|а|ов] «Реверс-Грип Эдж» Тахкаюна
"Tahmu ""The Weeping Queen""",Тахму «Плачущая королева»
Taidha Covington,Тайда Ковингтон
Taidha's Cannon,Пушка Тайды
Taidha's Dodge,Уклонение Тайды
Taidha's Reel,Вращение Тайдхи
Taidha's Shot,Выстрел Тайдхи
Taidha's Slash,Разрез Тайдхи
Taidha's Treasures,Сокровища Тайдхи
Tail Fin[s],[Хвостовой плавник|Хвостового плавника|Хвостовых плавников]
Tail Slash,Удар хвостом
Tail Spin,Вращение хвостом
Tail Sting,Укол хвостом
Taillade nécrotique,Taillade nécrotique
Tailor Pibb,Портной Пибб
Tailoring Bench,Портновский верстак
Tailoring Station,Портновский станок
Tails: Convert boons on yourself into conditions.,Хвосты: Преобразуйте свои благословения в состояния.
Tails: Gain initiative and remove conditions on yourself.,Хвосты: Получите инициативу и снимите с себя состояния.
"Taimen[pl:""Taimens""]",[Таймень|таймени|тайменей]
"Taimi doesn't always understand me, but she helps other people understand me since she can hold a conversation with me by herself. Although...I wouldn't miss it if she stopped giving me a squeaky voice.","Тайми не всегда понимает меня, но она помогает другим людям понимать меня, так как сама может поддерживать со мной разговор. Хотя... я бы не скучал, если бы она перестала давать мне писклявый голос."
"Taimi has requested your presence in Rata Novus. Apparently, Rata Sum has a secret gate that will take you there.","Тайми просит вашего присутствия в Рата Новус. По-видимому, у Рата Сум есть секретные врата, которые приведут вас туда."
Taimi's Dye Kit[s],Набор[|а|ов] красителей Тайми
Taimi's Machine,Машина Тайми
Taimi's Notes,Записки Тайми
Taimi's Outfit[s],Наряд[|а|ов] Тайми
Taimi's Package,Посылка Тайми
Taimi's Package now available!,Посылка Тайми теперь доступна!
Taimi's Tracker,Следопыт Тайми
"Taimi, all of the destroyers... They just...dropped.","Тайми, все разрушители... Они просто... упали."
Tainted Blood,Осквернённая кровь
Tainted Glyphic Axe,Осквернённый глифический топор
Tainted Glyphic Brand,Осквернённое глифическое клеймо
Tainted Glyphic Edge,Осквернённый глифический клинок
Tainted Glyphic Handblade,Осквернённый глифический ручной клинок
Tainted Glyphic Harpoon,Осквернённый глифический гарпун
Tainted Glyphic Harpoon Gun,Осквернённое глифическое гарпунное ружьё
Tainted Glyphic Horn,Осквернённый глифический рог
Tainted Glyphic Icon,Осквернённая глифическая икона
Tainted Glyphic Longblade,Осквернённый глифический длинный клинок
Tainted Glyphic Longbow,Осквернённый глифический длинный лук
Tainted Glyphic Mace,Осквернённая глифическая булава
Tainted Glyphic Pistol,Осквернённый глифический пистолет
Tainted Glyphic Rifle,Осквернённая глифическая винтовка
Tainted Glyphic Short Bow,Осквернённый глифический короткий лук
Tainted Glyphic Staff,Осквернённый глифический посох
Tainted Glyphic Ward,Осквернённый глифический щит
Tainted Oracles,Осквернённые оракулы
Tainted Quaggan Egg[s],[Испорченное яйцо кваггана|Испорченного яйца кваггана|Испорченных яиц кваггана]
"Take 1,000 gold.",Взять 1 000 золотых.
"Take 100,000 gold.",Взять 100 000 золотых.
Take a big bite out of the enemy.,Откусите большой кусок от врага.
Take a bite of the truffle.,Откусите кусочек трюфеля.
"Take a canvas, paintbrush, and a jar of blue paint to the scenic vantage point at the top of the entry gate into Barrowstead in Frostgorge Sound.","Возьмите холст, кисть и банку синей краски и отправляйтесь к живописной смотровой точке на вершине входных ворот в Барроустед в Звуке Морозного Ущелья."
"Take a canvas, paintbrush, and a jar of green paint to the scenic vantage point atop the pillar in the Uplands Oasis of Dry Top.","Возьмите холст, кисть и банку зелёной краски и отправляйтесь к живописной смотровой точке на вершине колонны в Оазисе Возвышенностей в Сухой Вершине."
"Take a canvas, paintbrush, and a jar of orange paint to the scenic vantage point on the high rock next to Lamia Mire in Plains of Ashford.","Возьмите холст, кисть и банку оранжевой краски и отправляйтесь к живописной смотровой точке на высокой скале рядом с Топью Ламии в Равнинах Эшфорда."
"Take a canvas, paintbrush, and a jar of purple paint to the scenic vantage point in Kinar Fort in Blazeridge Steppes.","Возьмите холст, кисть и банку фиолетовой краски и отправляйтесь к живописной смотровой точке в Крепости Кинар в Степях Огненного Хребта."
"Take a canvas, paintbrush, and a jar of red paint to the scenic vantage point at the bottom of Mount Maelstrom.","Возьмите холст, кисть и банку красной краски и отправляйтесь к живописной смотровой точке у подножия Водоворота Горы."
"Take a canvas, paintbrush, and a jar of yellow paint to the scenic vantage point by Pyrite Peninsula in Malchor's Leap.","Возьмите холст, кисть и банку жёлтой краски и отправляйтесь к живописной смотровой точке у Пиритового полуострова в Прыжке Малхора."
Take a dip in the tundra hot springs.,Окунитесь в тундровые горячие источники.
Take a Frosty Swig!,Хлебнуть морозного глотка!
Take a high quality screenshot.,Сделать скриншот высокого качества.
Take a look at these deals!,Взглянуть на эти предложения!
Take a normal screenshot.,Сделать обычный скриншот.
Take a practice shot.,Сделать пробный выстрел.
Take a practice swing at your target.,Сделать тренировочный удар по цели.
Take a quick sip from your teacup.,Сделать быстрый глоток из чашки.
Take a rubbing of one of the jotun runestones near Leaning Grade in Dredgehaunt Cliffs.,Сделать оттиск одного из рунических камней йотунов возле Наклонного Уступа в Скалах Проклятия Дредж.
"Take a rubbing of the ancient casket in the Azabe Qabar, Royal Tombs in Cursed Shore.","Сделать оттиск древнего саркофага в Азабе Кабар, Царские гробницы на Проклятом берегу."
Take a rubbing of the jotun runestone in the Ghost Stones in Dredgehaunt Cliffs.,Сделать оттиск рунического камня йотунов в Призрачных Камнях в Скалах Проклятия Дредж.
Take a rubbing of the jotun runestone monument near Heimdahl's Last Stand in Dredgehaunt Cliffs.,Сделать оттиск памятника руническому камню йотунов возле Последней Стойки Хеймдаля в Скалах Проклятия Дредж.
Take a slow sip from your teacup.,Сделать медленный глоток из чашки.
Take a souvenir from the Ancient Coffer at the Plaza of Lost Wisdom in Straits of Devastation.,Взять сувенир из Древнего Сундука на Площади Утерянной Мудрости в Проливах Разрушения.
Take a stereoscopic screenshot.,Сделать стереоскопический скриншот.
Take a swig of ale.,Сделать глоток эля.
Take a swig of omnomberry juice. Reduces health.,Сделать глоток сока омномберри. Снижает здоровье.
Take a swing at a foe.,Сделать удар по врагу.
Take a swing at a foe. Do more damage to drunks that are knocked down.,"Размахнитесь на врага. Наносите больше урона пьяным, которые сбиты с ног."
Take a swing with the bottle.,Размахнитесь бутылкой.
Take a torch from the campfire in Blackhold Mine Camp in Harathi Hinterlands and use it to kill a Veteran Bear.,"Возьмите факел из костра в лагере Черной Шахты в Харатских Предгорьях и используйте его, чтобы убить Ветерана-Медведя."
Take a torch from the campfire in Blackhold Mine Camp in Harathi Hinterlands and use it to kill a Veteran Eagle Griffon.,"Возьмите факел из костра в лагере Черной Шахты в Харатских Предгорьях и используйте его, чтобы убить Ветерана-Орлиного Грифона."
Take a torch from the campfire in Blackhold Mine Camp in Harathi Hinterlands and use it to kill a Veteran Eagle Raptor.,"Возьмите факел из костра в лагере Черной Шахты в Харатских Предгорьях и используйте его, чтобы убить Ветерана-Орлиного Раптора."
Take a torch from the campfire in Blackhold Mine Camp in Harathi Hinterlands and use it to kill a Veteran Freshwater Crab.,"Возьмите факел из костра в лагере Черной Шахты в Харатских Предгорьях и используйте его, чтобы убить Ветерана-Пресноводного Краба."
Take a torch from the campfire in Blackhold Mine Camp in Harathi Hinterlands and use it to kill a Veteran Longhorn Sheep.,"Возьмите факел из костра в лагере Черной Шахты в Харатских Предгорьях и используйте его, чтобы убить Ветерана-Длиннорогого Барана."
Take a torch from the campfire in Sootberme in Mount Maelstrom and use it to kill a Veteran Firefly.,"Возьмите факел из костра в Сутберме на горе Мальстром и используйте его, чтобы убить Ветерана-Светлячка."
Take a torch from the campfire in Sootberme in Mount Maelstrom and use it to kill a Veteran Hermit Crab.,"Возьмите факел из костра в Сутберме на горе Мальстром и используйте его, чтобы убить Ветерана-Рака-Отшельника."
Take a torch from the campfire in Sootberme in Mount Maelstrom and use it to kill a Veteran Jungle Spider.,"Возьмите факел из костра в Сутберме на горе Мальстром и используйте его, чтобы убить Ветерана-Джунглевого Паука."
Take a torch from the campfire in Sootberme in Mount Maelstrom and use it to kill a Veteran Mossheart.,"Возьмите факел из костра в Сутберме на горе Мальстром и используйте его, чтобы убить Ветерана-Мшистого Сердца."
Take a torch from the campfire in Sootberme in Mount Maelstrom and use it to kill a Veteran Pink Moa.,"Возьмите факел из костра в Сутберме на горе Мальстром и используйте его, чтобы убить Ветерана-Розового Моа."
Take a torch from the grawl village near Safewatch Vale in Frostgorge Sound and use it to kill a Veteran Alpine Stalker.,"Возьмите факел из деревни граулов у Безопасной Долины в Звуках Морозного Ущелья и используйте его, чтобы убить Ветерана-Альпийского Хищника."
Take a torch from the grawl village near Safewatch Vale in Frostgorge Sound and use it to kill a Veteran Arctodus.,"Возьмите факел из деревни граулов у Безопасной Долины в Звуках Морозного Ущелья и используйте его, чтобы убить Ветерана-Арктодуса."
Take a torch from the grawl village near Safewatch Vale in Frostgorge Sound and use it to kill a Veteran Eagle Griffon.,"Возьмите факел из деревни граулов у Безопасной Долины в Звуках Морозного Ущелья и используйте его, чтобы убить Ветерана-Орлиного Грифона."
Take a torch from the grawl village near Safewatch Vale in Frostgorge Sound and use it to kill a Veteran Longhorn Sheep.,"Возьмите факел из деревни гроулов возле Долины безопасности в Звучном Леднике и используйте его, чтобы убить ветерана длиннорогого барана."
Take a torch from the grawl village near Safewatch Vale in Frostgorge Sound and use it to kill a Veteran Pinesoul.,"Возьмите факел из деревни гроул возле Безопасной Долины в Звуке Фростгорж и используйте его, чтобы убить ветерана Пайнсоула."
Take a torch from the grawl villages in Fireheart Rise and use it to kill a Veteran Black Bear.,"Возьмите факел из поселений гроулов в Огненном Подъёме и используйте его, чтобы убить ветерана-медведя."
Take a torch from the grawl villages in Fireheart Rise and use it to kill a Veteran Marmox.,"Возьмите факел из деревень гроулов в Огненном подъёме и используйте его, чтобы убить ветерана-мармокса."
Take a torch from the grawl villages in Fireheart Rise and use it to kill a Veteran Moose.,"Возьмите факел из деревень гроулов в Огненном подъёме и используйте его, чтобы убить ветерана Лося."
Take a torch from the grawl villages in Fireheart Rise and use it to kill a Veteran Oakheart.,"Возьмите факел в поселениях гроулов в Подъёмном Сердце и используйте его, чтобы убить ветерана Оакхарта."
Take a torch from the grawl villages in Fireheart Rise and use it to kill a Veteran Tar Elemental.,"Возьмите факел из деревень гроулов в Огненном Подъёме и используйте его, чтобы убить ветерана элементаля смолы."
Take Aim,Прицелиться
Take aim with the Arcane Marksman Rifle!,Прицельтесь из Таинственной винтовки стрелка!
Take aim with the Exo-Rifle!,Прицельтесь из Экзо-винтовки!
Take aim with the Solar Flare Rifle!,Прицельтесь из Винтовки Солнечной Вспышки!
Take All,Взять всё
Take all items when looting. You'll no longer see the loot window unless you run out of inventory space.,"Брать все предметы при сборе трофеев. Вы больше не будете видеть окно сбора трофеев, если только у вас не закончится место в инвентаре."
Take all the gathered information to the Priory library.,Отнесите всю собранную информацию в библиотеку Приората.
Take Bag,Взять сумку
Take Bounty: Awakened Devastator,Взять награду: Пробуждённый Разрушитель
Take Bounty: Butch,Взять награду: Бутч
Take Bounty: Forged Warmonger,Взять награду: Кованый Воинствующий
Take Bounty: Grinteeth,Взять награду: Зеленозуб
Take Bounty: Man-Eater,Взять контракт: Людоед
Take Bounty: Tazula Mindclouder,Взять награду: Тазула Мозгокрут
"Take capture points, slay enemies, and earn rewards in a Player versus Player team battle. Click the crossed swords icon in the top left of your screen to enter PvP, which boosts your level to 80 for the duration of the fight.","Захватывайте точки, убивайте врагов и получайте награды в командном сражении Игрок против Игрока. Нажмите на значок скрещенных мечей в верхнем левом углу экрана, чтобы войти в PvP, который повышает ваш уровень до 80 на время боя."
Take care of the beasts in the Menagerie.,Позаботьтесь о зверях в Менажерии.
Take Cover,Укрыться
Take cover!,Укройтесь!
Take damage from quicksand in Crystal Oasis.,Получите урон от зыбучего песка в Кристальном оазисе.
Take damage from quicksand in Drytop.,Получите урон от зыбучего песка в Сухой Вершине.
Take damage from quicksand in Elon Riverlands.,Получите урон от зыбучего песка в Речных Землях Элоны.
Take damage from quicksand in the Domain of Vabbi.,Получите урон от зыбучего песка во Владениях Вабби.
Take damage.,Получите урон.
Take Down,Сбить
Take down a rampaging predator.,Одолейте вышедшего из-под контроля хищника.
Take down toys with a powerful single shot.,Уничтожьте игрушки одним мощным выстрелом.
Take Drinks,Взять напитки
Take Egg,Взять яйцо
Take Feed,Взять корм
Take fish from basket.,Возьмите рыбу из корзины.
Take Flame,Взять пламя
Take flight with the enchanting Shimmerwing Skyscale Skin!,Взлетите на чарующем скакуне грифона «Мерцающее Крыло»!
Take flight with the Sacred Pegasus griffon mount skin!,Взлетите на священном скакуне грифона «Пегас»!
Take Fur Sample,Взять образец меха
Take hold of the elements with the Dueling Elements Chair Package!,Возьмите под контроль стихии с набором стульев «Дуэль стихий»!
Take Holoscepter,Взять голоскипетр
Take in the landscape in Moldering Greenwood.,Полюбуйтесь пейзажем в Гниющей Роще.
Take in the stormy landscape at Echoing Hills.,Полюбуйтесь грозовым пейзажем у Эховых Холмов.
Take it to a flag stand.,Отнесите его к флагштоку.
Take it to a hungry kodan to receive credit.,"Отнесите его голодному кодану, чтобы получить награду."
Take it to a hungry patron to receive credit.,"Отнесите это голодному посетителю, чтобы получить кредит."
Take it to a thirsty patron to receive credit.,"Отнесите это жаждущему посетителю, чтобы получить кредит."
Take it to your Ghostly Hero.,Отнесите это вашему Призрачному Герою.
Take lumber,Возьмите пиломатериалы.
Take Mug,Взять кружку
Take no portals to the place adorned by blossoms.,"Не берите порталы к месту, украшенному цветами."
Take One,Взять один
Take or throw this piece of Exalted armor to a nearby Exalted husk to help rebuild it.,"Возьмите или бросьте этот кусок брони Возвышенных к ближайшей оболочке Возвышенных, чтобы помочь восстановить её."
Take or throw this piece of fractured magic to a nearby Forged bait site to help set the trap.,"Возьмите или бросьте этот кусок расколотой магии к ближайшему месту приманки Кованых, чтобы помочь установить ловушку."
Take Out Ball,Достать мяч
Take Out Toy Car,Достать игрушечную машинку
Take out your fishing rod.,Достаньте вашу удочку.
Take over the Inquest base at Bauxite Alchemicals in Malchor's Leap.,Захватите базу Инквест в Баукситных алхимических лабораториях в Скачке Малхора.
Take Package,Взять посылку
Take Personal Target,Взять личную цель
Take Pistol,Взять пистолет
Take Place,Занять место
Take Portal,Взять портал
Take Potion,Взять зелье
Take Power Node,Взять узел питания
Take processed wood to the leaky roofs.,Отнесите обработанную древесину к протекающим крышам.
Take readings of jade tech energy signatures.,Снимите показания энергетических сигнатур джад-технологий.
Take Sample,Взять образец
Take Scanner,Взять сканер
Take scrap wood to the sawhorse in Hullgarden to process.,Отнесите древесные обрезки к козлам в Халлгардене для обработки.
Take Screenshot,Сделать скриншот
Take Spears,Взять копья
Take Supplies,Взять припасы
Take supplies to any calibration thumper location to help construct or repair them. They cannot be used to repair the tectonic thumper.,"Отнесите припасы к любому месту калибровочного трамбовщика, чтобы помочь построить или отремонтировать их. Их нельзя использовать для ремонта тектонического трамбовщика."
Take Target,Взять цель
"Take the ""Elder Dragons and Star Navigation Theories Vol. III,"" the Skritt Salvaged Compass, the Ancient Orrian Compass, and the Damaged Airship Compass to Scarlet's home in Dry Top, and use her workbench to create the Wondrous Compass.","Отнесите «Теории о Древних Драконах и звёздной навигации, том III», Скриттский спасённый компас, Древний оррианский компас и Повреждённый воздушный компас домой к Скарлет в Сухой вершине и используйте её верстак, чтобы создать Чудесный компас."
"Take the Ancient Charting Device, Ancient Planetarium Slide, Finely Tuned Watchwork Mechanism, and Flawless Ancient Karka Husk to the Durmand Priory and use the Cartographer's Workbench to craft an Astrolabe.","Возьмите Древнее картографическое устройство, Древний планетарийный слайд, Тонко настроенный часовой механизм и Безупречную древнюю оболочку карки в Приорат Дурманда и используйте верстак картографа, чтобы создать Астролябию."
"Take the Ancient Cultists Texts to Sage Salim in Tarir, the Forgotten City of Auric Basin, so that he might put it to rest.","Отнесите тексты древних культистов мудрецу Салиму в Тарир, Забытый город бассейна Аурик, чтобы он мог успокоить их."
Take the Ancient Dwarven Texts from the mists to Ogden so that he may put them to rest.,"Отнесите древние дварфийские тексты из туманов Огдену, чтобы он мог успокоить их."
Take the Artifact to Someone Knowledgeable about Seers,"Отнесите артефакт тому, кто разбирается в провидцах."
Take the artifact to the nearby storage so they can be processed later.,"Отнесите артефакт в ближайшее хранилище, чтобы его можно было обработать позже."
Take the Ascalonian city.,Возьмите аскалонский город.
"Take the Charged Dwarven Spell Trap, Energized Soul Battery Fragment, Case of Corrupted Phials, and Chaotic Magic to the Metal Forest on Pyrite Peninsula in Malchor's Leap to combine them into Transcendent Energy.","Отнесите заряженную дварфийскую ловушку заклинаний, заряженный фрагмент батареи души, футляр с заражёнными фиалами и хаотическую магию в Металлический лес на Пиритовом полуострове в Прыжке Малхора, чтобы объединить их в Трансцендентную энергию."
"Take the Concentrated Volatile Substance, Ichor Alkahest, Arachnid Venom Decanter, and Concentrated Maguuma Bacteria to the Alchemy Mixing Table near Atlalli, Master Alchemist in the Hunting Banks of Timberline Falls, to create the Alchemical Catalyst.","Отнесите концентрированное летучее вещество, ихорный алкагест, графин с ядом паука и концентрированные бактерии Магуумы к алхимическому смесительному столу возле Атлалли, Мастера-алхимика в Охотничьих берегах Лесопадных порогов, чтобы создать Алхимический катализатор."
"Take the Counterweighting Mechanism, Dredge Cogs, Magnification Lens, and Hollow Saurian Bone to the Durmand Priory and use the Cartographer's Workbench to craft a Sextant.","Отнесите противовесный механизм, шестерни дредноутов, увеличительную линзу и полую кость завров в Приорат Дурманда и используйте верстак картографа, чтобы создать секстант."
Take the fight to Zhaitan.,Перенесите битву к Жаитану.
"Take the five reactor components to the Snaff Memorial Lab in Rata Sum, and use the Synergetics Workstation to create the Experimental Reactor.",Отнесите пять компонентов реактора в Мемориальную лабораторию Снаффа в Рата Суме и используйте Рабочую станцию синергетики для создания Экспериментального реактора.
Take the ingot from the furnace and turn it in to the crate or bring it to a hammering machine to make something.,"Возьмите слиток из печи и сдайте его в ящик или отнесите к кузнечному молоту, чтобы сделать что-то."
Take the Ley Organ,Возьмите лей-орган.
Take the long way around to loot this from the Grand Chest near Fryxx in Straits of Devastation.,"Обойдите длинным путём, чтобы забрать это из Большого сундука возле Фрикс в Проливах Опустошения."
"Take the Mist Enchanted Mechanism, the Technomancy Blueprint, the Ancient Runed Tablet and 10 Meteorite Ingots to the Craftsman's Workbench in the Durmand Priory Library to create the Cosmic Mechanism.","Отнесите зачарованный туманом механизм, чертёж техномантии, древнюю руническую табличку и 10 метеоритных слитков к ремесленному верстаку в библиотеке Приората Дурманда, чтобы создать Космический механизм."
Take the Ox talisman from the priest.,Возьмите талисман быка у жреца.
"Take the Perplexing Energized Cube, the Perpetual Energy Coil, Alkaline Solution, and the Thaumanova Anomaly Spark  to the Snaff Memorial Lab in Rata Sum and use the Synergetics Workstation to create the Synergetic Generator.","Отнесите загадочный заряженный куб, катушку вечной энергии, щелочной раствор и искру Таумановой аномалии в мемориальную лабораторию Снаффа в Рата Суме и используйте синергетическую рабочую станцию, чтобы создать Синергетический генератор."
"Take the Sextant, Astrolabe, Incomplete Star Charts, and Star Charter's Bag along with Ogden's Notes to the Durmand Priory, and use the Cartographer's Workbench to create the Celestial Cartographer's Gear.","Отнесите секстант, астролябию, неполные звёздные карты и сумку звездочёта вместе с записками Огдена в Приорат Дурманда и используйте верстак картографа, чтобы создать Снаряжение небесного картографа."
"Take the Stabilizing Gyroscope, the Aetherblade Gearbox Mechanism, the Steam Cogs, and the Charr Helicopter Gearbox to the Craftsman's Workbench in the Durmand Priory library to create the Technomancy Blueprint.","Отнесите стабилизирующий гироскоп, механизм коробки передач эфироклинков, паровые шестерни и коробку передач чаррского вертолёта к ремесленному верстаку в библиотеке Приората Дурманда, чтобы создать чертёж техномантии."
Take the Synergetic Generator to Auric Basin and test the energy reactions after gaining a rank of silver or better in the adventure A Fungus Among Us.,Отнесите Синергетический генератор в бассейн Аурик и проверьте энергетические реакции после получения ранга серебра или выше в приключении «Грибок среди нас».
Take the Synergetic Generator to Goemm's Lab in Metrica Provice and test the energy reactions near the chest after defeating Goemm the Mad.,Отнесите Синергетический генератор в лабораторию Гоэмма в провинции Метрика и проверьте энергетические реакции возле сундука после победы над Гоэммом Безумным.
Take the Synergetic Generator to Maelstrom's Core in Mount Maelstrom and test the energy reactions near the chest after defeating the Megadestroyer.,Возьмите Синергетический генератор к Ядру Мальстрёма в горе Мальстрём и проверьте энергетические реакции возле сундука после победы над Мегаразрушителем.
Take the Synergetic Generator to Sparkfly Fen and test the energy reactions near the chest after defeating Tequatl the Sunless.,Возьмите Синергетический генератор в Топь Искромуха и проверьте энергетические реакции возле сундука после победы над Текватлом Безсолнечным.
"Take the Synergetic Generator to the abandoned mine in Dry Top and attempt to sabotage the Inquest Synergetics Panel. After defeating the Inquest Synergetics Expert, use the device to test the energy reactions in the area.",Возьмите Синергетический генератор в заброшенную шахту в Сухой Вершине и попытайтесь саботировать панель синергетики Инквизиции. После победы над экспертом по синергетике Инквизиции используйте устройство для проверки энергетических реакций в этой области.
